Element / term,Tmax [°C],t_Tmax [min],Node_Tmax,Tmin [°C],t_Tmin [min],Node_Tmin,ΔTmax [°C],t_ΔTmax [min],Nodes_ΔTmax,ΔTmin [°C],t_ΔTmin [min],Nodes_ΔTmin
SOLAR_PANEL_1,56.634255,41.343356,70005,-21.313825,76.636464,72501,10.142092,43.360105,70005 - 72500,0.21775369,91.762082,70004 - 72500
BODY_PANEL,5.6349379,43.360105,10602,-5.5462535,88.736959,11002,10.993181,43.360105,10602 - 11002,8.9301101,79.661588,10602 - 11002
OBC_BOX,0.85292906,56.468974,31022,-1.2835535,76.636464,31011,2.0534782,76.636464,31022 - 31011,0.79753796,15.125618,31022 - 31011
RADIATOR,-10.846884,42.35173,35504,-17.257246,76.636464,34006,4.8818821,52.435476,35504 - 34002,4.5805437,91.762082,35504 - 34008
BATTERY,4.5971755,65.544345,30000,3.4956854,82.686712,30005,0.83875713,77.644839,30000 - 30005,0.06502166,90.753708,30002 - 30004
