Time [min],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C]
32.267985,-0.015655885,0.19461744,-0.018573405,0.18757478,-0.015654194,0.19460392,-0.018568878,0.18756375,0.19374944,-0.019045968,0.187061,-0.018611973,0.19373691,-0.01904014,0.18704963,-0.018607498,-0.021005773,-0.021770437,-0.021523375,-0.021256736,-0.021006347,-0.02177016,-0.021522784,-0.021256098,0.47709218,0.36756532,0.64903509,0.64078848,0.47704382,0.36747531,0.6490215,0.64077517,-0.0057147967,-0.0039547594,-0.004380098,0.0014817356,-0.0057154847,-0.0039559298,-0.0043741222,0.0014839877,-0.019819836,-0.018562536,0.019420653,-0.00077477084,-0.019818878,-0.018561604,0.019423403,-0.00077122534
33.27636,-0.01188705,0.22987408,-0.014470341,0.22387924,-0.011885327,0.22986045,-0.014466005,0.22386806,0.22932471,-0.014159441,0.22351127,-0.01454665,0.229312,-0.014153824,0.22349972,-0.01454237,-0.014814363,-0.015520173,-0.015325159,-0.015012866,-0.014814778,-0.015519784,-0.015324485,-0.015012145,0.43951487,0.32576294,0.61267448,0.60477815,0.43947524,0.32568671,0.61266178,0.60476574,-0.00067541894,0.00076864786,0.0021993144,0.0067950822,-0.00067600769,0.00076758566,0.0022048775,0.0067970781,-0.018672019,-0.017489776,0.022508583,0.00095514447,-0.018670816,-0.01748861,0.022511209,0.00095856039
34.284734,-0.0082780298,0.25927432,-0.010609655,0.25428749,-0.0082763322,0.25926058,-0.010605549,0.25427613,0.25900738,-0.009533386,0.25405234,-0.010724736,0.25899447,-0.0095280292,0.25404058,-0.010720688,-0.0084449197,-0.009112254,-0.0089806372,-0.0086159784,-0.0084452366,-0.009111812,-0.0089799344,-0.0086152272,0.40462036,0.28837653,0.57647202,0.56892128,0.40458775,0.28831172,0.57646039,0.56890994,0.0043937382,0.0055233003,0.0085633476,0.011979288,0.0043932148,0.0055223173,0.0085684511,0.011980988,-0.017454287,-0.016350174,0.025054903,0.0024663542,-0.017452879,-0.016348812,0.025057393,0.0024696276
35.293109,-0.0048202446,0.28330858,-0.0069774812,0.27928516,-0.0048185976,0.28329488,-0.0069736103,0.27927376,0.28328955,-0.005154753,0.27917065,-0.0071276733,0.28327662,-0.0051496702,0.27915886,-0.0071238418,-0.0019380781,-0.0025853704,-0.0025297176,-0.0021065078,-0.0019383262,-0.0025849045,-0.0025290216,-0.0021057696,0.37218438,0.25493151,0.54078832,0.53356609,0.37215728,0.25487607,0.54077762,0.53355567,0.0094668225,0.010284322,0.014693244,0.017020518,0.0094663526,0.010283409,0.014697889,0.017021921,-0.016183415,-0.015159061,0.027114,0.0037747642,-0.016181835,-0.015157529,0.027116359,0.0037778961
36.301483,-0.0018851853,0.30220996,-0.0039715282,0.29897299,-0.0018834488,0.30219641,-0.0039676878,0.29896174,0.30238725,-0.0014870652,0.29896413,-0.0041481749,0.30237444,-0.0014820281,0.29895252,-0.0041443498,0.0040442516,0.0033913047,0.0033672923,0.0038495758,0.0040442735,0.0033920098,0.0033682014,0.0038505198,0.34804908,0.23025183,0.51367448,0.50669763,0.34802286,0.23020065,0.51366146,0.50668492,0.014094875,0.014640578,0.020080505,0.021541946,0.014094603,0.014639864,0.020084947,0.021543231,-0.015131542,-0.014169827,0.028735496,0.0047884446,-0.015129723,-0.014168064,0.028737762,0.0047915168
37.309858,0.00062615402,0.31809077,-0.0014548452,0.31549885,0.00062776083,0.318077,-0.0014512378,0.31548728,0.3184294,0.0016212634,0.31558268,-0.0016502275,0.31841632,0.001626018,0.31557077,-0.0016466121,0.0095457941,0.0088711332,0.0087700586,0.0093104594,0.0095457059,0.008871701,0.008770818,0.0093112443,0.33046976,0.2121455,0.49411905,0.48732115,0.3304467,0.21209984,0.49410816,0.48731054,0.018321873,0.018630799,0.024869797,0.025638633,0.018321539,0.018630045,0.024873806,0.025639621,-0.014286016,-0.013371968,0.03011592,0.0055955363,-0.014284122,-0.013370126,0.030118106,0.0055985148
38.318232,0.0030761605,0.33185381,0.00097574866,0.32988516,0.003077739,0.33184,0.00097924726,0.32987352,0.33234392,0.0046330446,0.33005913,0.00077187527,0.33233078,0.0046376524,0.33004717,0.00077540628,0.015098872,0.014396539,0.014215603,0.014813619,0.015098833,0.014397132,0.014216378,0.014814408,0.31362091,0.1953073,0.47490456,0.46829231,0.3135992,0.19526524,0.47489356,0.4682816,0.022524958,0.022599197,0.029536273,0.029655727,0.022524674,0.022598505,0.029540007,0.029656533,-0.013421778,-0.012555199,0.031316396,0.0063201922,-0.013419751,-0.012553226,0.031318511,0.0063231097
39.326607,0.0054486278,0.34373836,0.0033072875,0.34236231,0.0054501399,0.34372447,0.0033106568,0.34235053,0.34437033,0.0075282317,0.34262522,0.003103457,0.34435707,0.0075326421,0.34261317,0.0031068552,0.020637261,0.019901021,0.019640374,0.020294042,0.020637199,0.019901567,0.01964109,0.020294775,0.29785113,0.1799444,0.45654044,0.45011398,0.2978312,0.17990608,0.45653008,0.45010391,0.026669544,0.026514524,0.034053137,0.033570232,0.026669264,0.02651385,0.03405656,0.033570832,-0.01255997,-0.011739282,0.03236023,0.0069666036,-0.012557845,-0.011737211,0.032362274,0.00696945
40.334981,0.0077664612,0.35382545,0.0055693257,0.35301694,0.0077679162,0.35381158,0.0055725823,0.35300512,0.3545922,0.010332821,0.35337302,0.005367477,0.35457893,0.010337045,0.35336098,0.0053707449,0.02616326,0.025387253,0.025046962,0.025756327,0.026163184,0.02538776,0.025047626,0.025757017,0.28271918,0.16563426,0.43849792,0.43225823,0.28270079,0.16559925,0.43848799,0.43224859,0.030769405,0.030389454,0.038442301,0.037394705,0.030769134,0.030388805,0.038445441,0.03739512,-0.011687818,-0.010912291,0.03325292,0.0075448651,-0.0116856,-0.010910126,0.033254898,0.0075476444
41.343356,0.010027462,0.36222162,0.0077623411,0.3619552,0.010028852,0.36220778,0.0077654794,0.36194336,0.36311795,0.013043792,0.36240987,0.0075631515,0.36310468,0.013047827,0.36239786,0.0075662837,0.031639671,0.030819195,0.030401364,0.031165641,0.031639566,0.03081965,0.030401965,0.031166278,0.26818446,0.15228985,0.42076357,0.41470698,0.26816761,0.15225796,0.42075415,0.41469785,0.034811045,0.034211113,0.042694895,0.041117992,0.034810773,0.03421048,0.042697759,0.041118229,-0.010809092,-0.010077883,0.03400312,0.0080597483,-0.010806793,-0.010075637,0.034005032,0.0080624587
