Element / term,Tmax [°C],t_Tmax [min],Node_Tmax,Tmin [°C],t_Tmin [min],Node_Tmin,ΔTmax [°C],t_ΔTmax [min],Nodes_ΔTmax,ΔTmin [°C],t_ΔTmin [min],Nodes_ΔTmin
SOLAR_PANEL_1,62.446544,24.200989,70005,-17.251802,56.468974,72501,8.5172763,25.209363,70005 - 72500,0.3085154,48.401978,70005 - 72501
BODY_PANEL,18.865024,24.200989,10601,5.0544668,67.561094,11002,13.625953,24.200989,10601 - 11002,12.636559,56.468974,10701 - 11002
OBC_BOX,13.744987,37.309858,31022,11.298893,56.468974,31011,2.3592793,56.468974,31022 - 31011,1.0726187,90.753708,31023 - 31011
RADIATOR,0.048351822,70.586217,35504,-7.3746169,56.468974,34002,5.6631167,13.108869,35504 - 34002,5.3148584,70.586217,35504 - 34002
BATTERY,21.765997,56.468974,30000,18.254642,65.544345,30005,2.9753994,56.468974,30000 - 30005,0.12167469,8.0669963,30002 - 30004
