elapsedTime,Q_balance [W],Energy step [Wh],Absorbed energy [Wh]
0,-0.24503056,0,0
60.502472,-0.22985948,-0.0039905585,-0.0039905585
121.00494,-0.21494815,-0.0037377724,-0.0077283309
181.50742,-0.20025512,-0.0034890033,-0.011217334
242.00989,-0.18574987,-0.0032436467,-0.014460981
302.51236,-0.17142215,-0.0030013598,-0.017462341
363.01483,-0.15726846,-0.0027620271,-0.020224368
423.5173,-0.14329201,-0.0025256461,-0.022750014
484.01978,-0.12949634,-0.0022922735,-0.025042287
544.52225,-0.11587622,-0.0020618954,-0.027104183
605.02472,-0.10242942,-0.0018344488,-0.028938632
665.52719,-0.089156448,-0.0016099193,-0.030548551
726.02966,-0.076060674,-0.0013883395,-0.03193689
786.53214,-0.06316738,-0.0011699502,-0.03310684
847.03461,-0.050491841,-0.0009550922,-0.034061933
907.53708,-0.038045257,-0.00074398795,-0.034805921
968.03955,-0.025859361,-0.00053699825,-0.035342919
1028.542,-0.013948483,-0.00033451014,-0.035677429
1089.0445,-0.0023060864,-0.00013658912,-0.035814018
1149.547,0.0090803742,5.6925161e-05,-0.035757093
1210.0494,0.020246888,0.00024644053,-0.035510652
1270.5519,0.031226606,0.000432538,-0.035078114
1331.0544,0.042053132,0.00061577851,-0.034462336
1391.5569,0.052759673,0.00079672349,-0.033665612
1452.0593,0.063381194,0.00097594577,-0.032689667
1512.5618,6.8237311,0.057873239,0.025183572
1573.0643,6.0825218,0.10845281,0.13363638
1633.5667,5.4471459,0.096885194,0.23052157
1694.0692,4.8562252,0.086580474,0.31710205
1754.5717,4.3207742,0.077115437,0.39421748
1815.0742,3.8961553,0.069047854,0.46326534
1875.5766,3.5107957,0.062241506,0.52550684
1936.0791,3.1592999,0.056049621,0.58155646
1996.5816,2.838883,0.050403457,0.63195992
2057.084,2.5472239,0.045260108,0.67722003
2117.5865,2.2953543,0.040692771,0.7179128
2178.089,2.0961509,0.03690235,0.75481515
2238.5915,1.916077,0.033715237,0.78853039
2299.0939,1.7497691,0.030804548,0.81933494
2359.5964,1.5960879,0.028115641,0.84745058
2420.0989,1.4539503,0.02562984,0.87308042
2480.6013,1.3219728,0.023326418,0.89640683
2541.1038,1.1992986,0.021186549,0.91759338
2601.6063,1.0851449,0.019196456,0.93678984
2662.1088,0.99614374,0.017489321,0.95427916
2722.6112,0.92193273,0.016117829,0.97039699
2783.1137,0.85338967,0.014918249,0.98531524
2843.6162,0.78849735,0.013796976,0.99911221
2904.1187,0.72652975,0.012730956,1.0118432
2964.6211,0.66717426,0.011711464,1.0235546
3025.1236,0.61063235,0.010737564,1.0342922
3085.6261,0.556618,0.009808546,1.0441007
3146.1285,0.50476208,0.0089189053,1.0530196
3206.631,0.4548664,0.0080638743,1.0610835
3267.1335,0.4067999,0.0072406863,1.0683242
3327.636,0.36046332,0.0064474058,1.0747716
3388.1384,0.31574915,0.0056822953,1.0804539
3448.6409,-6.7010027,-0.053656059,1.0267979
3509.1434,-5.8774116,-0.10569794,0.92109991
3569.6458,-5.29204,-0.093858254,0.82724166
3630.1483,-4.8241031,-0.085007175,0.74223448
3690.6508,-4.3571011,-0.077150771,0.66508371
3751.1533,-3.9211597,-0.069563228,0.59552049
3811.6557,-3.5250178,-0.062571132,0.53294935
3872.1582,-3.1685887,-0.056247187,0.47670217
3932.6607,-2.8485017,-0.050562339,0.42613983
3993.1631,-2.5698156,-0.045530776,0.38060905
4053.6656,-2.3548872,-0.041382874,0.33922618
4114.1681,-2.1625137,-0.037960267,0.30126591
4174.6706,-1.9857855,-0.034858661,0.26640725
4235.173,-1.8225159,-0.032001618,0.23440563
4295.6755,-1.6720777,-0.029365494,0.20504014
4356.178,-1.5332667,-0.026934898,0.17810524
4416.6805,-1.4046703,-0.024687841,0.1534174
4477.1829,-1.2854162,-0.022605123,0.13081228
4537.6854,-1.1747813,-0.020673338,0.11013894
4598.1879,-1.0755241,-0.018909589,0.091229349
4658.6903,-1.0022225,-0.017459556,0.073769793
4719.1928,-0.93684215,-0.016294195,0.057475598
4779.6953,-0.87597911,-0.015233357,0.042242242
4840.1978,-0.81854225,-0.014239268,0.028002973
4900.7002,-0.76405269,-0.013298737,0.014704236
4961.2027,-0.71223653,-0.012405437,0.0022987992
5021.7052,-0.66290715,-0.011555499,-0.0092566997
5082.2076,-0.61629323,-0.010749276,-0.020005975
5142.7101,-0.57204716,-0.0099857682,-0.029991744
5203.2126,-0.52988032,-0.00925963,-0.039251374
5263.7151,-0.48962178,-0.0085669996,-0.047818373
5324.2175,-0.45958958,-0.007976338,-0.055794711
5384.72,-0.43724744,-0.0075362301,-0.063330941
5445.2225,-0.41673376,-0.0071761075,-0.070507049
5505.7249,-0.39734091,-0.006840768,-0.077347817
5566.2274,-0.378704,-0.0065211993,-0.083869016
5626.7299,-0.36063358,-0.0062127432,-0.090081759
5687.2324,-0.3430288,-0.0059129601,-0.095994719
5747.7348,-0.32583476,-0.0056205414,-0.10161526
5808.2373,-0.30902023,-0.0053347634,-0.10695002
5868.7398,-0.29256485,-0.0050551924,-0.11200522
5929.2422,-0.27645612,-0.0047815521,-0.11678677
5989.7447,-0.26067778,-0.0045136012,-0.12130037
6050.2471,-0.24521602,-0.0042510783,-0.12555145
