Element / term,Tmax [°C],t_Tmax [min],Node_Tmax,Tmin [°C],t_Tmin [min],Node_Tmin,ΔTmax [°C],t_ΔTmax [min],Nodes_ΔTmax,ΔTmin [°C],t_ΔTmin [min],Nodes_ΔTmin
SOLAR_PANEL_1,65.424782,82.686712,70005,12.147839,95.795581,72500,5.7816718,83.695086,70005 - 72500,0.18707546,10.083745,70004 - 72502
BODY_PANEL,35.760574,83.695086,10600,20.896836,6.0502472,11002,14.723909,82.686712,10600 - 11002,14.017352,96.803955,10701 - 11002
OBC_BOX,30.434885,90.753708,31022,27.825964,95.795581,31011,2.591544,95.795581,31022 - 31011,1.5100832,82.686712,31022 - 31011
RADIATOR,14.486733,82.686712,35504,5.555116,95.795581,34006,6.6831779,96.803955,35504 - 34006,6.150497,20.167491,35504 - 34002
BATTERY,38.973143,95.795581,30000,35.425306,59.494097,30005,2.9044543,96.803955,30000 - 30005,0.15804072,82.686712,30002 - 30005
