Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
0,745.68985,994.25313,277.86419,12.5,57.753229,0.75,0.47052973,0.27947027
60.502472,745.68715,994.24953,277.6729,12.5,58.030595,0.75,0.47072111,0.27927889
121.00494,745.68444,994.24592,277.50037,12.5,58.280627,0.75,0.47089363,0.27910637
181.50742,745.68174,994.24232,277.34603,12.5,58.504131,0.75,0.47104785,0.27895215
242.00989,745.67903,994.23871,277.20935,12.5,58.701902,0.75,0.47118431,0.27881569
302.51236,745.67584,994.23445,277.08909,12.5,58.875464,0.75,0.47130407,0.27869593
363.01483,745.67254,994.23005,276.98398,12.5,59.026903,0.75,0.47140856,0.27859144
423.5173,745.66924,994.22566,276.89357,12.5,59.156913,0.75,0.47149827,0.27850173
484.01978,745.66595,994.22126,276.81741,12.5,59.266144,0.75,0.47157364,0.27842636
544.52225,745.66237,994.21649,276.75442,12.5,59.356023,0.75,0.47163566,0.27836434
605.02472,745.65864,994.21152,276.70246,12.5,59.429756,0.75,0.47168653,0.27831347
665.52719,745.65492,994.20656,276.66109,12.5,59.488045,0.75,0.47172675,0.27827325
726.02966,745.6512,994.2016,276.62999,12.5,59.531364,0.75,0.47175664,0.27824336
786.53214,745.64739,994.19652,276.60837,12.5,59.560822,0.75,0.47177697,0.27822303
847.03461,745.6435,994.19133,276.59319,12.5,59.580846,0.75,0.47179078,0.27820922
907.53708,745.63961,994.18614,276.58379,12.5,59.59244,0.75,0.47179878,0.27820122
968.03955,745.63571,994.18095,276.57999,12.5,59.595877,0.75,0.47180116,0.27819884
1028.542,745.63185,994.1758,276.58134,12.5,59.591829,0.75,0.47179836,0.27820164
1089.0445,745.62805,994.17074,276.58411,12.5,59.585738,0.75,0.47179416,0.27820584
1149.547,745.62425,994.16567,276.58712,12.5,59.579293,0.75,0.47178971,0.27821029
1210.0494,745.62045,994.1606,276.59035,12.5,59.572529,0.75,0.47178505,0.27821495
1270.5519,745.6167,994.1556,276.59375,12.5,59.565534,0.75,0.47178022,0.27821978
1331.0544,745.6132,994.15093,276.5956,12.5,59.560946,0.75,0.47177705,0.27822295
1391.5569,745.60969,994.14626,276.59487,12.5,59.560111,0.75,0.47177648,0.27822352
1452.0593,745.60619,994.14158,276.59165,12.5,59.56292,0.75,0.47177841,0.27822159
1512.5618,0,0,0,21,53.616268,0.75,0.46767522,0.28232478
1573.0643,0,0,0,21,47.810077,0.75,0.46366895,0.28633105
1633.5667,0,0,0,21,42.47917,0.75,0.45999063,0.29000937
1694.0692,0,0,0,21,37.567388,0.75,0.4566015,0.2933985
1754.5717,0,0,0,21,33.067241,0.75,0.4534964,0.2965036
1815.0742,0,0,0,21,29.220079,0.75,0.45084185,0.29915815
1875.5766,0,0,0,21,25.636087,0.75,0.4483689,0.3016311
1936.0791,0,0,0,21,22.280026,0.75,0.44605322,0.30394678
1996.5816,0,0,0,21,19.132289,0.75,0.44388128,0.30611872
2057.084,0,0,0,21,16.174701,0.75,0.44184054,0.30815946
2117.5865,0,0,0,21,13.528371,0.75,0.44001458,0.30998542
2178.089,0,0,0,21,11.248185,0.75,0.43844125,0.31155875
2238.5915,0,0,0,21,9.0797706,0.75,0.43694504,0.31305496
2299.0939,0,0,0,21,7.0150322,0.75,0.43552037,0.31447963
2359.5964,0,0,0,21,5.053032,0.75,0.43416659,0.31583341
2420.0989,0,0,0,21,3.174978,0.75,0.43287073,0.31712927
2480.6013,0,0,0,21,1.3758638,0.75,0.43162935,0.31837065
2541.1038,0,0,0,21,-0.349425,0.75,0.4304389,0.3195611
2601.6063,0,0,0,21,-2.0110945,0.75,0.42929234,0.32070766
2662.1088,0,0,0,21,-3.325885,0.75,0.42838514,0.32161486
2722.6112,0,0,0,21,-4.5403272,0.75,0.42754717,0.32245283
2783.1137,0,0,0,21,-5.724187,0.75,0.42673031,0.32326969
2843.6162,0,0,0,21,-6.8811464,0.75,0.42593201,0.32406799
2904.1187,0,0,0,21,-8.0136551,0.75,0.42515058,0.32484942
2964.6211,0,0,0,21,-9.1228305,0.75,0.42438525,0.32561475
3025.1236,0,0,0,21,-10.197231,0.75,0.42364391,0.32635609
3085.6261,0,0,0,21,-11.251152,0.75,0.4229167,0.3270833
3146.1285,0,0,0,21,-12.28557,0.75,0.42220296,0.32779704
3206.631,0,0,0,21,-13.301348,0.75,0.42150207,0.32849793
3267.1335,0,0,0,21,-14.299307,0.75,0.42081348,0.32918652
3327.636,0,0,0,21,-15.279794,0.75,0.42013694,0.32986306
3388.1384,0,0,0,21,-16.242728,0.75,0.41947252,0.33052748
3448.6409,745.60828,994.14437,326.25419,12.5,-12.834584,0.75,0.42182414,0.32817586
3509.1434,745.61172,994.14896,322.77368,12.5,-7.7584904,0.75,0.42532664,0.32467336
3569.6458,745.61535,994.15379,319.66337,12.5,-3.2220026,0.75,0.42845682,0.32154318
3630.1483,745.61907,994.15876,317.0337,12.5,0.61383022,0.75,0.43110354,0.31889646
3690.6508,745.62279,994.16372,314.53388,12.5,4.2603461,0.75,0.43361964,0.31638036
3751.1533,745.62651,994.16868,312.16121,12.5,7.7214476,0.75,0.4360078,0.3139922
3811.6557,745.63032,994.17376,309.91107,12.5,11.003963,0.75,0.43827273,0.31172727
3872.1582,745.63421,994.17895,307.7705,12.5,14.126756,0.75,0.44042746,0.30957254
3932.6607,745.6381,994.18414,305.7349,12.5,17.096495,0.75,0.44247658,0.30752342
3993.1631,745.642,994.18933,303.8628,12.5,19.827877,0.75,0.44436124,0.30563876
4053.6656,745.64586,994.19448,302.27046,12.5,22.151382,0.75,0.44596445,0.30403555
4114.1681,745.64966,994.19954,300.74177,12.5,24.382052,0.75,0.44750362,0.30249638
4174.6706,745.65346,994.20461,299.27308,12.5,26.525222,0.75,0.4489824,0.3010176
4235.173,745.65726,994.20968,297.8626,12.5,28.583534,0.75,0.45040264,0.29959736
4295.6755,745.661,994.21466,296.51607,12.5,30.548555,0.75,0.4517585,0.2982415
4356.178,745.66444,994.21926,295.21901,12.5,32.441286,0.75,0.45306449,0.29693551
4416.6805,745.66789,994.22386,293.96775,12.5,34.267226,0.75,0.45432439,0.29567561
4477.1829,745.67134,994.22845,292.76081,12.5,36.028546,0.75,0.4555397,0.2944603
4537.6854,745.67479,994.23305,291.5967,12.5,37.727425,0.75,0.45671192,0.29328808
4598.1879,745.67764,994.23686,290.51804,12.5,39.301383,0.75,0.45779795,0.29220205
