Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
4658.6903,745.6805,994.24067,289.66621,12.5,40.544698,0.75,0.45865584,0.29134416
4719.1928,745.68336,994.24448,288.8306,12.5,41.764357,0.75,0.45949741,0.29050259
4779.6953,745.68622,994.2483,288.01086,12.5,42.960881,0.75,0.46032301,0.28967699
4840.1978,745.68843,994.25124,287.20627,12.5,44.134935,0.75,0.46113311,0.28886689
4900.7002,745.69051,994.25401,286.41653,12.5,45.287257,0.75,0.46192821,0.28807179
4961.2027,745.69258,994.25678,285.64139,12.5,46.418309,0.75,0.46270863,0.28729137
5021.7052,745.69466,994.25955,284.88051,12.5,47.528562,0.75,0.46347471,0.28652529
5082.2076,745.69612,994.2615,284.1433,12.5,48.603964,0.75,0.46421674,0.28578326
5142.7101,745.69727,994.26303,283.4248,12.5,49.651917,0.75,0.46493982,0.28506018
5203.2126,745.69843,994.26457,282.72495,12.5,50.672682,0.75,0.46564415,0.28435585
5263.7151,745.69958,994.26611,282.04315,12.5,51.667124,0.75,0.46633032,0.28366968
5324.2175,745.70023,994.26697,281.54829,12.5,52.388808,0.75,0.46682828,0.28317172
5384.72,745.70038,994.26717,281.16523,12.5,52.947251,0.75,0.4672136,0.2827864
5445.2225,745.70053,994.26737,280.79198,12.5,53.491392,0.75,0.46758906,0.28241094
5505.7249,745.70068,994.26757,280.42832,12.5,54.021562,0.75,0.46795488,0.28204512
5566.2274,745.70049,994.26732,280.07435,12.5,54.537413,0.75,0.46831082,0.28168918
5626.7299,745.69963,994.26617,279.73581,12.5,55.030407,0.75,0.46865098,0.28134902
5687.2324,745.69877,994.26502,279.41445,12.5,55.498369,0.75,0.46897387,0.28102613
5747.7348,745.6979,994.26387,279.10979,12.5,55.941976,0.75,0.46927996,0.28072004
5808.2373,745.69689,994.26252,278.82139,12.5,56.361801,0.75,0.46956964,0.28043036
5868.7398,745.69513,994.26018,278.55188,12.5,56.753697,0.75,0.46984005,0.28015995
5929.2422,745.69337,994.25783,278.30281,12.5,57.115789,0.75,0.47008989,0.27991011
5989.7447,745.69161,994.25548,278.07361,12.5,57.448935,0.75,0.47031976,0.27968024
6050.2471,745.68985,994.25313,277.86368,12.5,57.75398,0.75,0.47053025,0.27946975
