elapsedTime,QS [W],E_QS [Wh]
0,764.81604,0
60.502472,764.81775,12.853698
121.00494,764.81946,25.707425
181.50742,764.82117,38.56118
242.00989,764.82288,51.414964
302.51236,764.82488,64.26878
363.01483,764.82695,77.122629
423.5173,764.82901,89.976514
484.01978,764.83107,102.83043
544.52225,764.83328,115.68439
605.02472,764.83555,128.53838
665.52719,764.83783,141.39241
726.02966,764.84011,154.24648
786.53214,764.84241,167.10059
847.03461,764.84475,179.95473
907.53708,764.84708,192.80892
968.03955,764.84941,205.66314
1028.542,764.85171,218.51741
1089.0445,764.85395,231.37171
1149.547,764.85618,244.22605
1210.0494,764.85841,257.08043
1270.5519,764.8606,269.93484
1331.0544,764.86258,282.78929
1391.5569,764.86456,295.64377
1452.0593,764.86654,308.49829
1512.5618,764.86852,321.35284
1573.0643,764.87012,334.20742
1633.5667,764.87171,347.06202
1694.0692,764.8733,359.91665
1754.5717,764.87489,372.77131
1815.0742,764.87607,385.626
1875.5766,764.87717,398.4807
1936.0791,764.87826,411.33542
1996.5816,764.87936,424.19016
2057.084,764.88007,437.04491
2117.5865,764.88059,449.89967
2178.089,764.88112,462.75445
2238.5915,764.88164,475.60923
2299.0939,764.88186,488.46402
2359.5964,764.88178,501.31881
2420.0989,764.8817,514.17359
2480.6013,764.88161,527.02838
2541.1038,764.88133,539.88316
2601.6063,764.88064,552.73794
2662.1088,764.87996,565.5927
2722.6112,764.87927,578.44745
2783.1137,764.8785,591.30219
2843.6162,764.87726,604.15692
2904.1187,764.87602,617.01162
2964.6211,764.87478,629.8663
3025.1236,764.87354,642.72096
3085.6261,764.87183,655.5756
3146.1285,764.87012,668.4302
3206.631,764.86841,681.28478
3267.1335,764.8667,694.13933
3327.636,764.8647,706.99385
3388.1384,764.86263,719.84833
3448.6409,764.86057,732.70278
3509.1434,764.85851,745.5572
3569.6458,764.8563,758.41158
3630.1483,764.85403,771.26592
3690.6508,764.85175,784.12022
3751.1533,764.84947,796.97448
3811.6557,764.84717,809.82871
3872.1582,764.84483,822.6829
3932.6607,764.8425,835.53704
3993.1631,764.84017,848.39115
4053.6656,764.83787,861.24522
4114.1681,764.83563,874.09925
4174.6706,764.8334,886.95325
4235.173,764.83117,899.80721
4295.6755,764.82897,912.66113
4356.178,764.827,925.51501
4416.6805,764.82502,938.36886
4477.1829,764.82304,951.22268
4537.6854,764.82106,964.07646
4598.1879,764.81946,976.93022
4658.6903,764.81787,989.78395
4719.1928,764.81628,1002.6376
4779.6953,764.81469,1015.4913
4840.1978,764.81346,1028.345
4900.7002,764.81231,1041.1986
4961.2027,764.81116,1054.0522
5021.7052,0,1060.479
5082.2076,0,1060.479
5142.7101,0,1060.479
5203.2126,0,1060.479
5263.7151,0,1060.479
5324.2175,0,1060.479
5384.72,0,1060.479
5445.2225,0,1060.479
5505.7249,0,1060.479
5566.2274,0,1060.479
5626.7299,0,1060.479
5687.2324,0,1060.479
5747.7348,0,1060.479
5808.2373,764.81109,1066.9058
5868.7398,764.81232,1079.7594
5929.2422,764.81356,1092.6131
5989.7447,764.8148,1105.4667
6050.2471,764.81604,1118.3204
