elapsedTime,Q_GL [W],Q_GR [W],Q_GT [W]
0,-4.0450454,-0.46122735,-4.5062727
60.502472,-3.7446751,-0.43468655,-4.1793617
121.00494,-3.4670728,-0.40951048,-3.8765833
181.50742,-3.2167455,-0.38605688,-3.6028024
242.00989,-2.9903301,-0.36415395,-3.3544841
302.51236,-2.7850987,-0.3437739,-3.1288726
363.01483,-2.6221793,-0.32754441,-2.9497237
423.5173,-2.4961851,-0.31471511,-2.8109002
484.01978,-2.380324,-0.30262341,-2.6829475
544.52225,-2.2733623,-0.29135674,-2.5647191
605.02472,-2.1730564,-0.28070223,-2.4537586
665.52719,-2.0786024,-0.2706202,-2.3492226
726.02966,-2.0254163,-0.26519252,-2.2906088
786.53214,-1.9772075,-0.26010841,-2.2373159
847.03461,-1.9315199,-0.25519538,-2.1867153
907.53708,-1.8877151,-0.25043828,-2.1381534
968.03955,-1.8454463,-0.24582677,-2.0912731
1028.542,-1.804519,-0.24135309,-2.0458721
1089.0445,-1.7648138,-0.23701092,-2.0018248
1149.547,-1.7262572,-0.23279502,-1.9590522
1210.0494,-1.6888085,-0.22870097,-1.9175094
1270.5519,-1.6524388,-0.22472483,-1.8771636
1331.0544,-1.6171298,-0.22086305,-1.8379928
1391.5569,-1.5828747,-0.21711251,-1.7999872
1452.0593,-1.5496586,-0.2134701,-1.7631287
1512.5618,-1.5174595,-0.20993272,-1.7273922
1573.0643,-1.4862464,-0.20649719,-1.6927436
1633.5667,-1.4559724,-0.20316004,-1.6591324
1694.0692,-1.4265967,-0.19991795,-1.6265147
1754.5717,-1.3980867,-0.19676783,-1.5948545
1815.0742,-1.3704148,-0.19370677,-1.5641216
1875.5766,-1.3435568,-0.19073202,-1.5342888
1936.0791,-1.3174864,-0.18784085,-1.5053272
1996.5816,-1.2921772,-0.18503059,-1.4772078
2057.084,-1.2676048,-0.1822987,-1.4499035
2117.5865,-1.2437422,-0.17964261,-1.4233848
2178.089,-1.2205601,-0.17705975,-1.3976199
2238.5915,-1.198031,-0.17454761,-1.3725786
2299.0939,-1.176131,-0.17210384,-1.3482349
2359.5964,-1.1548366,-0.16972614,-1.3245627
2420.0989,-1.1341217,-0.16741223,-1.3015339
2480.6013,-1.1139616,-0.16515986,-1.2791214
2541.1038,-1.0943352,-0.16296693,-1.2573022
2601.6063,-1.0752231,-0.16083143,-1.2360545
2662.1088,-1.0566027,-0.15875134,-1.2153541
2722.6112,-1.0384524,-0.15672468,-1.1951771
2783.1137,-1.0207536,-0.15474958,-1.1755032
2843.6162,-1.0034901,-0.15282428,-1.1563144
2904.1187,-0.98664386,-0.15094699,-1.1375909
2964.6211,-0.97019751,-0.14911598,-1.1193135
3025.1236,-0.95413616,-0.14732964,-1.1014658
3085.6261,-0.9384476,-0.14558646,-1.0840341
3146.1285,-0.92311811,-0.143885,-1.0670031
3206.631,-0.90813275,-0.14222379,-1.0503565
3267.1335,-0.89347856,-0.14060147,-1.03408
3327.636,-0.87914333,-0.13901677,-1.0181601
3388.1384,-0.86510679,-0.13746826,-1.0025751
3448.6409,-0.85135295,-0.13595461,-0.98730756
3509.1434,-0.83787217,-0.13447467,-0.97234684
3569.6458,-0.82465946,-0.13302743,-0.95768689
3630.1483,-0.81172436,-0.13161223,-0.94333659
3690.6508,-0.79908049,-0.13022865,-0.92930914
3751.1533,-0.78673555,-0.12887625,-0.91561181
3811.6557,-0.77469107,-0.12755454,-0.90224561
3872.1582,-0.76294019,-0.12626289,-0.88920307
3932.6607,-0.75147952,-0.12500081,-0.87648032
3993.1631,-0.74031202,-0.12376798,-0.86408
4053.6656,-0.72943886,-0.12256407,-0.85200294
4114.1681,-0.71885618,-0.12138863,-0.84024482
4174.6706,-0.70854891,-0.1202409,-0.82878981
4235.173,-0.69849375,-0.11911986,-0.81761361
4295.6755,-0.68866894,-0.11802447,-0.80669341
4356.178,-0.67905462,-0.1169537,-0.79600833
4416.6805,-0.66962691,-0.1159064,-0.7855333
4477.1829,-0.66036331,-0.11488136,-0.77524467
4537.6854,-0.65124691,-0.11387751,-0.76512442
4598.1879,-0.6422677,-0.11289392,-0.75516162
4658.6903,-0.63342312,-0.11192992,-0.74535304
4719.1928,-0.62471264,-0.11098491,-0.73569755
4779.6953,-0.61613583,-0.11005835,-0.72619418
4840.1978,-0.60769175,-0.10914973,-0.71684148
4900.7002,-0.59937953,-0.10825857,-0.7076381
4961.2027,-0.59120143,-0.10738453,-0.69858596
5021.7052,-2.1220407,-0.15894095,-2.2809816
5082.2076,-3.1901039,-0.22900386,-3.4191078
5142.7101,-3.8604549,-0.28936833,-4.1498232
5203.2126,-4.4597787,-0.34539495,-4.8051736
5263.7151,-5.0033914,-0.39728679,-5.4006782
5324.2175,-5.4596395,-0.44173244,-5.9013719
5384.72,-5.8339318,-0.47900769,-6.3129395
5445.2225,-6.1721379,-0.51335359,-6.6854915
5505.7249,-6.4782762,-0.54492334,-7.0231995
5566.2274,-6.7552362,-0.57387284,-7.329109
5626.7299,-7.0057731,-0.60037084,-7.6061439
5687.2324,-7.2242088,-0.62342324,-7.847632
5747.7348,-7.3941503,-0.64150897,-8.0356592
5808.2373,-6.2544654,-0.61567971,-6.8701451
5868.7398,-5.3435914,-0.56954049,-5.9131319
5929.2422,-4.8660264,-0.53123319,-5.3972596
5989.7447,-4.434009,-0.49470895,-4.928718
6050.2471,-4.0449973,-0.46125313,-4.5062504
