elapsedTime,Q_GL [W],Q_GR [W],Q_GT [W]
0,-0.37902569,-0.093047453,-0.47207315
60.502472,-0.36857963,-0.092035304,-0.46061494
121.00494,-0.3583022,-0.091044941,-0.44934714
181.50742,-0.34815493,-0.090074714,-0.43822964
242.00989,-0.33810919,-0.089123132,-0.42723232
302.51236,-0.32814999,-0.08818897,-0.41633896
363.01483,-0.3182796,-0.087271372,-0.40555097
423.5173,-0.30850353,-0.086369653,-0.39487319
484.01978,-0.29882628,-0.085483203,-0.38430948
544.52225,-0.28925114,-0.084611484,-0.37386262
605.02472,-0.27977291,-0.083753882,-0.36352679
665.52719,-0.27038928,-0.082909848,-0.35329913
726.02966,-0.2611046,-0.082079027,-0.34318362
786.53214,-0.251925,-0.081261153,-0.33318615
847.03461,-0.24286597,-0.080456176,-0.32332214
907.53708,-0.23395849,-0.079664515,-0.31362301
968.03955,-0.22523474,-0.078886753,-0.3041215
1028.542,-0.21671704,-0.078123381,-0.29484042
1089.0445,-0.20840896,-0.077374573,-0.28578353
1149.547,-0.20028933,-0.076639943,-0.27692927
1210.0494,-0.19232693,-0.075918788,-0.26824571
1270.5519,-0.1844937,-0.075210363,-0.25970406
1331.0544,-0.17676406,-0.07451391,-0.25127797
1391.5569,-0.16910502,-0.073828469,-0.24293349
1452.0593,-0.16148596,-0.073153031,-0.234639
1512.5618,-1.7273398,-0.12586702,-1.8532068
1573.0643,-2.3111921,-0.16555509,-2.4767472
1633.5667,-2.7986819,-0.20240383,-3.0010857
1694.0692,-3.2515583,-0.23720238,-3.4887607
1754.5717,-3.6612117,-0.26929685,-3.9305086
1815.0742,-3.985596,-0.29516234,-4.2807583
1875.5766,-4.2785412,-0.31909196,-4.5976331
1936.0791,-4.544573,-0.34126736,-4.8858404
1996.5816,-4.7861459,-0.3617431,-5.147889
2057.084,-5.005198,-0.38058804,-5.385786
2117.5865,-5.1950659,-0.39676193,-5.5918278
2178.089,-5.3445726,-0.40975157,-5.7543242
2238.5915,-5.478296,-0.42175394,-5.9000499
2299.0939,-5.6013282,-0.43289258,-6.0342208
2359.5964,-5.7149142,-0.44316797,-6.1580821
2420.0989,-5.8195675,-0.45271314,-6.2722806
2480.6013,-5.9164817,-0.46158772,-6.3780694
2541.1038,-6.0063389,-0.46984172,-6.4761806
2601.6063,-6.0897499,-0.47752176,-6.5672716
2662.1088,-6.1563964,-0.48322007,-6.6396164
2722.6112,-6.2108413,-0.48819414,-6.6990354
2783.1137,-6.2605272,-0.49287717,-6.7534044
2843.6162,-6.3073887,-0.49731306,-6.8047018
2904.1187,-6.3520914,-0.50152728,-6.8536187
2964.6211,-6.3948978,-0.50553797,-6.9004358
3025.1236,-6.4357795,-0.50931522,-6.9450947
3085.6261,-6.4747444,-0.51291662,-6.987661
3146.1285,-6.5121297,-0.5163566,-7.0284863
3206.631,-6.548098,-0.51964662,-7.0677447
3267.1335,-6.5827485,-0.52279638,-7.1055449
3327.636,-6.6161587,-0.52581458,-7.1419733
3388.1384,-6.648402,-0.52870934,-7.1771114
3448.6409,-5.2927745,-0.4877297,-5.7805042
3509.1434,-4.6358514,-0.44471817,-5.0805696
3569.6458,-4.194214,-0.40948384,-4.6036979
3630.1483,-3.8356427,-0.38245625,-4.218099
3690.6508,-3.4723547,-0.35605713,-3.8284118
3751.1533,-3.1332623,-0.3308755,-3.4641378
3811.6557,-2.8266892,-0.30726081,-3.13395
3872.1582,-2.5526172,-0.28537136,-2.8379886
3932.6607,-2.3080002,-0.2652322,-2.5732324
3993.1631,-2.0952248,-0.24755803,-2.3427828
4053.6656,-1.93134,-0.23379315,-2.1651331
4114.1681,-1.7863525,-0.22112007,-2.0074726
4174.6706,-1.6536937,-0.20939425,-1.8630879
4235.173,-1.5314359,-0.19853256,-1.7299685
4295.6755,-1.4188722,-0.18853972,-1.6074119
4356.178,-1.3153648,-0.17928034,-1.4946451
4416.6805,-1.2197064,-0.17069268,-1.3903991
4477.1829,-1.131209,-0.16272512,-1.2939341
4537.6854,-1.0493194,-0.15533117,-1.2046506
4598.1879,-0.97558461,-0.14878371,-1.1243683
4658.6903,-0.92050963,-0.14405308,-1.0645627
4719.1928,-0.87246581,-0.13964045,-1.0121063
4779.6953,-0.8281429,-0.13548603,-0.96362892
4840.1978,-0.7865002,-0.131561,-0.9180612
4900.7002,-0.74712327,-0.12784593,-0.8749692
4961.2027,-0.70978665,-0.12432507,-0.83411172
5021.7052,-0.6743441,-0.12098494,-0.79532905
5082.2076,-0.64088431,-0.11785232,-0.75873662
5142.7101,-0.6092871,-0.11487704,-0.72416414
5203.2126,-0.57929099,-0.11204731,-0.6913383
5263.7151,-0.55075271,-0.10935332,-0.66010602
5324.2175,-0.52882565,-0.10745544,-0.6362811
5384.72,-0.51249337,-0.10603784,-0.61853121
5445.2225,-0.4978551,-0.10467851,-0.60253361
5505.7249,-0.48421484,-0.10336623,-0.58758107
5566.2274,-0.47121501,-0.10209441,-0.57330942
5626.7299,-0.45867103,-0.10085892,-0.55952995
5687.2324,-0.44648504,-0.099656907,-0.54614195
5747.7348,-0.43460413,-0.098486243,-0.53309037
5808.2373,-0.42299931,-0.097345245,-0.52034456
5868.7398,-0.41165423,-0.096232515,-0.50788675
5929.2422,-0.40055532,-0.09514676,-0.49570208
5989.7447,-0.38968775,-0.094086712,-0.48377446
6050.2471,-0.37903899,-0.09305119,-0.47209018
