Time [min],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C]
32.267985,0.067434362,1.0522451,0.059100249,1.0605006,0.067441267,1.0522202,0.059107143,1.0604785,1.0522224,0.072346419,1.061558,0.058074036,1.0521977,0.07235385,1.0615361,0.058080903,0.16635092,0.1651041,0.16511731,0.16594686,0.16635396,0.16510731,0.16512035,0.16594992,0.37185499,0.32137365,0.63278877,0.63697508,0.37184281,0.32136145,0.6327789,0.63696506,0.039610825,0.038680006,0.06065996,0.057932634,0.039614144,0.038683236,0.060664126,0.057936171,0.0029673426,0.004202736,0.10472346,0.032968626,0.0029734529,0.0042085983,0.10472608,0.03297292
33.27636,0.067512093,1.032588,0.05968254,1.0410693,0.067518838,1.0325633,0.059689322,1.0410474,1.032554,0.072373912,1.0420713,0.058662568,1.0325296,0.072381167,1.0420495,0.058669302,0.16137607,0.16023751,0.16033961,0.16109722,0.16137926,0.16024086,0.16034277,0.16110041,0.36042591,0.31116244,0.61403819,0.61837163,0.36041384,0.3111505,0.61402829,0.61836154,0.038661846,0.037705501,0.059111574,0.056278866,0.038665105,0.037708676,0.059115569,0.056282255,0.0041787543,0.0053203974,0.10494541,0.03333701,0.0041847578,0.0053261404,0.10494793,0.033341219
34.284734,0.067332031,1.0111335,0.060022882,1.0197946,0.067338649,1.0111099,0.060029581,1.0197736,1.0110934,0.072126729,1.0207329,0.059011092,1.01107,0.072133838,1.0207121,0.059017713,0.15531121,0.15428123,0.15446882,0.15515491,0.15531462,0.15428482,0.15447218,0.1551583,0.3493075,0.30126382,0.59556658,0.6000728,0.34929595,0.30125248,0.59555727,0.6000633,0.037740407,0.036761397,0.05757583,0.054645506,0.037743647,0.036764554,0.057579724,0.054648816,0.0053395065,0.006397732,0.10493637,0.033564712,0.0053453708,0.0064033255,0.10493885,0.03356884
35.293109,0.06694925,0.98879426,0.060159925,0.99759673,0.066955732,0.98877124,0.060166558,0.99757633,0.98875283,0.071661004,0.99846782,0.059152768,0.98873006,0.071667934,0.9984476,0.059159272,0.14835075,0.14742609,0.14768856,0.14830803,0.14835434,0.14742984,0.14769208,0.14831157,0.33880291,0.29204238,0.57804075,0.58252441,0.33879159,0.29203133,0.57803155,0.58251514,0.036908564,0.035911253,0.056135296,0.053120039,0.036911747,0.035914354,0.056139052,0.053123231,0.0064419548,0.0074260692,0.10471718,0.033661826,0.0064476746,0.0074315245,0.10471958,0.033665862
36.301483,0.066339558,0.96484127,0.060072104,0.97374785,0.066345923,0.96481923,0.060078686,0.97372838,0.96480338,0.070946383,0.97454977,0.059062133,0.96478157,0.070953149,0.97453052,0.059068529,0.1404418,0.13961949,0.13994053,0.14050225,0.14044563,0.13962346,0.13994423,0.140506,0.32852997,0.28330184,0.56106015,0.56494829,0.32851908,0.28329115,0.56105129,0.56493953,0.036159605,0.035150141,0.054767143,0.05168412,0.036162735,0.035153191,0.054770785,0.051687218,0.0074980867,0.0084138568,0.1041656,0.033615058,0.0075036425,0.0084191591,0.10416795,0.033619008
37.309858,0.065520149,0.93936588,0.059761209,0.94834003,0.06552639,0.93934469,0.059767731,0.94832137,0.93933908,0.070001793,0.94907455,0.058743482,0.9393181,0.070008386,0.94905615,0.058749764,0.13168175,0.13095818,0.13131902,0.13183482,0.13168579,0.13096235,0.1313229,0.13183875,0.31847946,0.27500633,0.54461512,0.54733651,0.31846893,0.27499588,0.54460649,0.54732814,0.035532678,0.034519404,0.053515247,0.050383696,0.035535733,0.034522381,0.053518761,0.050386685,0.0084959104,0.0093474068,0.10324965,0.033412451,0.0085012921,0.0093525468,0.10325194,0.033416313
38.318232,0.0648826,0.91891686,0.059543083,0.92796096,0.064888716,0.91889579,0.059549542,0.92794236,0.91891093,0.069252889,0.92864163,0.058514985,0.91889005,0.069259319,0.92862331,0.058521171,0.12337165,0.12273485,0.12311552,0.12360316,0.12337578,0.12273912,0.12311947,0.12360715,0.31098428,0.26907992,0.532604,0.53379429,0.31097365,0.26906928,0.53259514,0.53378586,0.035240332,0.034230881,0.052734546,0.049561284,0.035243307,0.034233777,0.052737923,0.049564154,0.0093868072,0.010178286,0.10253428,0.03321452,0.0093920489,0.010183293,0.10253647,0.0332183
39.326607,0.06533976,0.91832678,0.06020491,0.92754679,0.06534568,0.918302,0.06021124,0.92752449,0.91835009,0.069692782,0.928203,0.059164883,0.9183255,0.069698996,0.92818095,0.059170949,0.11841262,0.11783678,0.11822393,0.11870394,0.11841625,0.11784056,0.11822739,0.11870744,0.31109908,0.26962725,0.53347808,0.53346009,0.31108643,0.26961485,0.53346687,0.53344926,0.03561252,0.034606762,0.053060802,0.049815744,0.035615384,0.034609549,0.053063962,0.049818413,0.010137789,0.010866992,0.10348945,0.033464202,0.010143036,0.010872001,0.10349131,0.033467905
40.334981,0.065742209,0.91714797,0.060793349,0.92653653,0.065748241,0.91712484,0.060799799,0.92651588,0.91720837,0.070077854,0.9271678,0.059750369,0.91718542,0.070084194,0.92714741,0.059756572,0.11309462,0.11258284,0.11297235,0.11344878,0.11309874,0.11258712,0.11297631,0.11345275,0.31127158,0.2702163,0.53448786,0.53326186,0.31125898,0.27020388,0.53447757,0.53325203,0.036046472,0.035052127,0.053451049,0.050142481,0.036049372,0.035054948,0.053454258,0.050145201,0.010857353,0.011503325,0.10432677,0.033634695,0.010862584,0.011508315,0.10432878,0.033638472
41.343356,0.066098856,0.9154262,0.061319712,0.92497579,0.06610488,0.91540263,0.06132618,0.92495471,0.91553086,0.070417603,0.92558181,0.060283187,0.91550747,0.07042394,0.92556097,0.060289427,0.1074836,0.10703909,0.10742514,0.10790089,0.10748781,0.10704348,0.10742921,0.10790495,0.31153366,0.27087493,0.53564382,0.53322249,0.31152039,0.27086191,0.53563316,0.53321231,0.036527074,0.035550087,0.053889404,0.05052508,0.036529953,0.035552887,0.053892563,0.05052776,0.011525367,0.012070527,0.10505795,0.033730769,0.011530592,0.012075507,0.10505992,0.033734563
42.35173,0.067860561,0.93158096,0.063201021,0.94151799,0.06786543,0.93154502,0.063205764,0.94148421,0.93175937,0.072256468,0.94210106,0.062181974,0.93172364,0.072261591,0.94206753,0.062186681,0.10175359,0.10141013,0.10176877,0.10223364,0.101758,0.10141473,0.10177292,0.10223769,0.31578818,0.27434339,0.54571306,0.54234107,0.31577184,0.27432855,0.54569614,0.54232438,0.037495136,0.036535358,0.055200721,0.0516938,0.037497744,0.036537888,0.055203328,0.051695994,0.012629917,0.013018105,0.1079966,0.034282181,0.012634733,0.013022606,0.10799678,0.034285305
43.360105,0.076084465,1.010132,0.071324225,1.0215178,0.076089603,1.0100979,0.071329056,1.0214858,1.0104757,0.080938818,1.0220764,0.070342103,1.0104417,0.08094409,1.0220448,0.070346924,0.096308015,0.096200021,0.096424898,0.096817618,0.096313119,0.096205279,0.096429651,0.096822256,0.30680225,0.26052691,0.56211904,0.55921355,0.30680109,0.26053144,0.56210917,0.55920386,0.040479897,0.039522795,0.060136099,0.056094658,0.040482728,0.039525549,0.060138816,0.056097034,0.016113741,0.01612088,0.11761532,0.036794288,0.016118862,0.016125668,0.11761615,0.036797625
44.368479,0.083978361,1.0581338,0.079154925,1.0709802,0.083983442,1.0581021,0.079159529,1.0709507,1.0586117,0.089216724,1.0714902,0.07819803,1.0585802,0.089221825,1.071461,0.078202666,0.090599924,0.090717724,0.090759273,0.091068921,0.090605574,0.0907235,0.090764501,0.091074006,0.24880286,0.20021247,0.52000351,0.51779803,0.24882872,0.20024795,0.52000076,0.51779539,0.04327749,0.042321918,0.064594614,0.060083978,0.043280507,0.042324862,0.064597235,0.060086355,0.019874601,0.019468222,0.12291718,0.03898861,0.019879883,0.019473151,0.12291826,0.038991849
45.376854,0.091173217,1.0789323,0.086344807,1.0931947,0.091177941,1.0789034,0.086348948,1.0931678,1.0795128,0.096719062,1.0936326,0.085412959,1.079484,0.096723693,1.093606,0.085417176,0.084593861,0.084929096,0.084747509,0.084961489,0.084599903,0.084935236,0.084753063,0.084966872,0.16516904,0.11632598,0.43895415,0.43766997,0.16522253,0.11639231,0.43895703,0.43767287,0.045807132,0.044848447,0.068393974,0.063480545,0.045810286,0.044851536,0.068396261,0.063482691,0.023813957,0.022973723,0.12510099,0.040750874,0.023819264,0.022978665,0.12510203,0.040753808
46.385228,0.097454582,1.0754505,0.092696167,1.0910393,0.097458736,1.0754246,0.092699687,1.0910154,1.0760998,0.10323048,1.0913818,0.091794602,1.076074,0.10323443,1.0913581,0.091798241,0.078273405,0.078818722,0.078382344,0.078487369,0.078279717,0.078825103,0.078388103,0.078492932,0.070547698,0.023089658,0.33406641,0.33389717,0.070625664,0.023183159,0.33407404,0.33390473,0.047980528,0.047010992,0.071370612,0.066118433,0.047983774,0.047014182,0.071372381,0.06612017,0.02784954,0.026565014,0.1248516,0.042040463,0.027854756,0.026569857,0.12485247,0.042042961
47.393603,0.10148198,1.049935,0.096874655,1.0664842,0.10148574,1.0499124,0.096877784,1.0664634,1.0506232,0.10735694,1.0667297,0.096009824,1.0506007,0.10736039,1.0667091,0.096013096,0.071735012,0.072456245,0.071778454,0.071785218,0.071741446,0.072462733,0.071784265,0.071790824,-0.013810214,-0.05880646,0.23172363,0.23268667,-0.013718282,-0.058696784,0.2317317,0.23269462,0.049354099,0.048370908,0.072904939,0.067438859,0.049357456,0.048374219,0.072906226,0.067440207,0.031161495,0.029488952,0.12250506,0.042518783,0.031166666,0.029493745,0.12250574,0.042520905
