Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
1452.0593,764.86654,1019.8221,289.78666,18.559999,50.96501,0.75,0.46584586,0.28415414
1512.5618,764.86852,1019.8247,289.44368,18.559999,51.453485,0.75,0.4661829,0.2838171
1573.0643,764.87012,1019.8268,289.10471,18.559999,51.936061,0.75,0.46651588,0.28348412
1633.5667,764.87171,1019.8289,288.76994,18.559999,52.412653,0.75,0.46684473,0.28315527
1694.0692,764.8733,1019.8311,288.4393,18.559999,52.883379,0.75,0.46716953,0.28283047
1754.5717,764.87489,1019.8332,288.1127,18.559999,53.348355,0.75,0.46749037,0.28250963
1815.0742,764.87607,1019.8348,287.79036,18.559999,53.807063,0.75,0.46780687,0.28219313
1875.5766,764.87717,1019.8362,287.47315,18.559999,54.258432,0.75,0.46811832,0.28188168
1936.0791,764.87826,1019.8377,287.16101,18.559999,54.702593,0.75,0.46842479,0.28157521
1996.5816,764.87936,1019.8391,286.85383,18.559999,55.139705,0.75,0.4687264,0.2812736
2057.084,764.88007,1019.8401,286.5518,18.559999,55.5693,0.75,0.46902282,0.28097718
2117.5865,764.88059,1019.8408,286.25633,18.559999,55.989462,0.75,0.46931273,0.28068727
2178.089,764.88112,1019.8415,285.96746,18.559999,56.400252,0.75,0.46959617,0.28040383
2238.5915,764.88164,1019.8422,285.68501,18.559999,56.801902,0.75,0.46987331,0.28012669
2299.0939,764.88186,1019.8425,285.40904,18.559999,57.194193,0.75,0.47014399,0.27985601
2359.5964,764.88178,1019.8424,285.14133,18.559999,57.574593,0.75,0.47040647,0.27959353
2420.0989,764.8817,1019.8423,284.8821,18.559999,57.942939,0.75,0.47066063,0.27933937
2480.6013,764.88161,1019.8421,284.63112,18.559999,58.299555,0.75,0.47090669,0.27909331
2541.1038,764.88133,1019.8418,284.38823,18.559999,58.644573,0.75,0.47114476,0.27885524
2601.6063,764.88064,1019.8409,284.15492,18.559999,58.97576,0.75,0.47137327,0.27862673
2662.1088,764.87996,1019.8399,283.93164,18.559999,59.292693,0.75,0.47159196,0.27840804
2722.6112,764.87927,1019.839,283.71811,18.559999,59.595778,0.75,0.47180109,0.27819891
2783.1137,764.8785,1019.838,283.51403,18.559999,59.885382,0.75,0.47200091,0.27799909
2843.6162,764.87726,1019.8363,283.32015,18.559999,60.160246,0.75,0.47219057,0.27780943
2904.1187,764.87602,1019.8347,283.137,18.559999,60.419878,0.75,0.47236972,0.27763028
2964.6211,764.87478,1019.833,282.96424,18.559999,60.664727,0.75,0.47253866,0.27746134
3025.1236,764.87354,1019.8314,282.80158,18.559999,60.895236,0.75,0.47269771,0.27730229
3085.6261,764.87183,1019.8291,282.64905,18.559999,61.111096,0.75,0.47284666,0.27715334
3146.1285,764.87012,1019.8268,282.50706,18.559999,61.311983,0.75,0.47298527,0.27701473
3206.631,764.86841,1019.8245,282.37528,18.559999,61.498348,0.75,0.47311386,0.27688614
3267.1335,764.8667,1019.8223,282.25342,18.559999,61.670636,0.75,0.47323274,0.27676726
3327.636,764.8647,1019.8196,282.14102,18.559999,61.829317,0.75,0.47334223,0.27665777
3388.1384,764.86263,1019.8168,282.03783,18.559999,61.974877,0.75,0.47344267,0.27655733
3448.6409,764.86057,1019.8141,281.94359,18.559999,62.107723,0.75,0.47353433,0.27646567
3509.1434,764.85851,1019.8113,281.85802,18.559999,62.22825,0.75,0.47361749,0.27638251
3569.6458,764.8563,1019.8084,281.7805,18.559999,62.337254,0.75,0.47369271,0.27630729
3630.1483,764.85403,1019.8054,281.70985,18.559999,62.436463,0.75,0.47376116,0.27623884
3690.6508,764.85175,1019.8023,281.6458,18.559999,62.526295,0.75,0.47382314,0.27617686
3751.1533,764.84947,1019.7993,281.58814,18.559999,62.607049,0.75,0.47387886,0.27612114
3811.6557,764.84717,1019.7962,281.53653,18.559999,62.679193,0.75,0.47392864,0.27607136
3872.1582,764.84483,1019.7931,281.48997,18.559999,62.744135,0.75,0.47397345,0.27602655
3932.6607,764.8425,1019.79,281.44817,18.559999,62.802315,0.75,0.4740136,0.2759864
3993.1631,764.84017,1019.7869,281.41097,18.559999,62.853962,0.75,0.47404923,0.27595077
4053.6656,764.83787,1019.7838,281.3781,18.559999,62.899482,0.75,0.47408064,0.27591936
4114.1681,764.83563,1019.7808,281.34771,18.559999,62.941504,0.75,0.47410964,0.27589036
4174.6706,764.8334,1019.7779,281.31917,18.559999,62.980895,0.75,0.47413682,0.27586318
4235.173,764.83117,1019.7749,281.29241,18.559999,63.017752,0.75,0.47416225,0.27583775
4295.6755,764.82897,1019.772,281.26737,18.559999,63.0522,0.75,0.47418602,0.27581398
4356.178,764.827,1019.7693,281.24291,18.559999,63.085923,0.75,0.47420929,0.27579071
4416.6805,764.82502,1019.7667,281.21834,18.559999,63.119812,0.75,0.47423267,0.27576733
4477.1829,764.82304,1019.764,281.19365,18.559999,63.153864,0.75,0.47425617,0.27574383
4537.6854,764.82106,1019.7614,281.16885,18.559999,63.188077,0.75,0.47427977,0.27572023
4598.1879,764.81946,1019.7593,281.14386,18.559999,63.22275,0.75,0.4743037,0.2756963
4658.6903,764.81787,1019.7572,281.11835,18.559999,63.258185,0.75,0.47432815,0.27567185
4719.1928,764.81628,1019.755,281.09231,18.559999,63.294356,0.75,0.47435311,0.27564689
4779.6953,764.81469,1019.7529,281.06577,18.559999,63.331239,0.75,0.47437856,0.27562144
4840.1978,764.81346,1019.7513,281.0389,18.559999,63.368792,0.75,0.47440447,0.27559553
4900.7002,764.81231,1019.7497,281.01161,18.559999,63.406975,0.75,0.47443081,0.27556919
4961.2027,764.81116,1019.7482,280.98389,18.559999,63.44577,0.75,0.47445758,0.27554242
5021.7052,0,0,0,30.249999,60.261205,0.75,0.47226023,0.27773977
5082.2076,0,0,0,30.249999,54.142863,0.75,0.46803858,0.28196142
5142.7101,0,0,0,30.249999,48.556296,0.75,0.46418384,0.28581616
5203.2126,0,0,0,30.249999,43.417311,0.75,0.46063794,0.28936206
5263.7151,0,0,0,30.249999,38.672906,0.75,0.45736431,0.29263569
5324.2175,0,0,0,30.249999,34.457355,0.75,0.45445558,0.29554442
5384.72,0,0,0,30.249999,30.724519,0.75,0.45187992,0.29812008
5445.2225,0,0,0,30.249999,27.22342,0.75,0.44946416,0.30053584
5505.7249,0,0,0,30.249999,23.932881,0.75,0.44719369,0.30280631
5566.2274,0,0,0,30.249999,20.834129,0.75,0.44505555,0.30494445
5626.7299,0,0,0,30.249999,17.908913,0.75,0.44303715,0.30696285
5687.2324,0,0,0,30.249999,15.242841,0.75,0.44119756,0.30880244
5747.7348,0,0,0,30.249999,12.969489,0.75,0.43962895,0.31037105
5808.2373,764.81109,1019.7481,316.03006,18.559999,13.63779,0.75,0.44009008,0.30990992
5868.7398,764.81232,1019.7498,313.60684,18.559999,17.082414,0.75,0.44246687,0.30753313
5929.2422,764.81356,1019.7514,311.32423,18.559999,20.327188,0.75,0.44470576,0.30529424
5989.7447,764.8148,1019.7531,309.1776,18.559999,23.378703,0.75,0.44681131,0.30318869
6050.2471,764.81604,1019.7547,307.22133,18.559999,26.159669,0.75,0.44873017,0.30126983
