Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
0,764.81604,1019.7547,307.22189,18.559999,26.158877,0.75,0.44872963,0.30127037
60.502472,764.81775,1019.757,305.58206,18.559999,28.490375,0.75,0.45033836,0.29966164
121.00494,764.81946,1019.7593,304.03279,18.559999,30.693148,0.75,0.45185827,0.29814173
181.50742,764.82117,1019.7616,302.57888,18.559999,32.760402,0.75,0.45328468,0.29671532
242.00989,764.82288,1019.7638,301.2076,18.559999,34.710208,0.75,0.45463004,0.29536996
302.51236,764.82488,1019.7665,299.91512,18.559999,36.548183,0.75,0.45589825,0.29410175
363.01483,764.82695,1019.7693,298.83727,18.559999,38.081156,0.75,0.456956,0.293044
423.5173,764.82901,1019.772,297.93588,18.559999,39.363335,0.75,0.4578407,0.2921593
484.01978,764.83107,1019.7748,297.07598,18.559999,40.586533,0.75,0.45868471,0.29131529
544.52225,764.83328,1019.7777,296.26461,18.559999,41.74085,0.75,0.45948119,0.29051881
605.02472,764.83555,1019.7807,295.48736,18.559999,42.8467,0.75,0.46024422,0.28975578
665.52719,764.83783,1019.7838,294.74279,18.559999,43.906108,0.75,0.46097521,0.28902479
726.02966,764.84011,1019.7868,294.3087,18.559999,44.524265,0.75,0.46140174,0.28859826
786.53214,764.84241,1019.7899,293.8944,18.559999,45.114295,0.75,0.46180886,0.28819114
847.03461,764.84475,1019.793,293.48826,18.559999,45.692764,0.75,0.46220801,0.28779199
907.53708,764.84708,1019.7961,293.08982,18.559999,46.260267,0.75,0.46259958,0.28740042
968.03955,764.84941,1019.7992,292.69893,18.559999,46.817057,0.75,0.46298377,0.28701623
1028.542,764.85171,1019.8023,292.31532,18.559999,47.363466,0.75,0.46336079,0.28663921
1089.0445,764.85395,1019.8053,291.93797,18.559999,47.900946,0.75,0.46373165,0.28626835
1149.547,764.85618,1019.8082,291.56648,18.559999,48.430093,0.75,0.46409676,0.28590324
1210.0494,764.85841,1019.8112,291.20071,18.559999,48.951098,0.75,0.46445626,0.28554374
1270.5519,764.8606,1019.8141,290.84051,18.559999,49.464166,0.75,0.46481027,0.28518973
1331.0544,764.86258,1019.8168,290.48499,18.559999,49.970472,0.75,0.46515963,0.28484037
1391.5569,764.86456,1019.8194,290.13374,18.559999,50.470713,0.75,0.46550479,0.28449521
