elapsedTime,Q_balance [W],Energy step [Wh],Absorbed energy [Wh]
0,-5.0671174,0,0
60.502472,-4.6629422,-0.081762869,-0.081762869
121.00494,-4.2879665,-0.075215569,-0.15697844
181.50742,-3.9475025,-0.069203643,-0.22618208
242.00989,-3.6371197,-0.063734499,-0.28991658
302.51236,-3.3537879,-0.058745443,-0.34866202
363.01483,-3.1288992,-0.054474805,-0.40313683
423.5173,-2.953863,-0.051114188,-0.45425102
484.01978,-2.7915225,-0.04827917,-0.50253019
544.52225,-2.6410958,-0.045650949,-0.54818114
605.02472,-2.4995252,-0.04319726,-0.5913784
665.52719,-2.3658854,-0.040884634,-0.63226303
726.02966,-2.2918125,-0.039139199,-0.67140223
786.53214,-2.2238955,-0.037946041,-0.70934827
847.03461,-2.1590526,-0.036830444,-0.74617871
907.53708,-2.0966221,-0.03576095,-0.78193966
968.03955,-2.0362351,-0.034728899,-0.81666856
1028.542,-1.9776864,-0.033729468,-0.85039803
1089.0445,-1.9208473,-0.032759851,-0.88315788
1149.547,-1.8656126,-0.031818081,-0.91497596
1210.0494,-1.8119272,-0.030902812,-0.94587878
1270.5519,-1.7597462,-0.030013204,-0.97589198
1331.0544,-1.7090297,-0.029148544,-1.0050405
1391.5569,-1.6597695,-0.028308428,-1.033349
1452.0593,-1.611938,-0.027492554,-1.0608415
1512.5618,-1.5655012,-0.026700406,-1.0875419
1573.0643,-1.520426,-0.02593142,-1.1134733
1633.5667,-1.4766426,-0.025184731,-1.1386581
1694.0692,-1.4340989,-0.024459314,-1.1631174
1754.5717,-1.3927516,-0.023754367,-1.1868717
1815.0742,-1.3525583,-0.023069171,-1.2099409
1875.5766,-1.3134883,-0.022403113,-1.232344
1936.0791,-1.2755068,-0.021755639,-1.2540997
1996.5816,-1.2385785,-0.021126163,-1.2752258
2057.084,-1.202671,-0.020514115,-1.2957399
2117.5865,-1.1677481,-0.019918919,-1.3156589
2178.089,-1.1337721,-0.019339953,-1.3349988
2238.5915,-1.1007077,-0.018776604,-1.3537754
2299.0939,-1.0685232,-0.01822831,-1.3720037
2359.5964,-1.0371876,-0.017694543,-1.3896983
2420.0989,-1.0066688,-0.017174773,-1.406873
2480.6013,-0.97693567,-0.016668469,-1.4235415
2541.1038,-0.9479604,-0.016175135,-1.4397167
2601.6063,-0.91971653,-0.015694315,-1.455411
2662.1088,-0.89217724,-0.015225563,-1.4706365
2722.6112,-0.86531525,-0.014768422,-1.485405
2783.1137,-0.83910739,-0.01432247,-1.4997274
2843.6162,-0.81353327,-0.01388734,-1.5136148
2904.1187,-0.78856769,-0.013462648,-1.5270774
2964.6211,-0.76418843,-0.013047998,-1.5401254
3025.1236,-0.74037622,-0.012643039,-1.5527684
3085.6261,-0.7171103,-0.012247436,-1.5650159
3146.1285,-0.69437671,-0.011860896,-1.5768768
3206.631,-0.67215635,-0.011483143,-1.5883599
3267.1335,-0.65043243,-0.011113874,-1.5994738
3327.636,-0.62918396,-0.010752771,-1.6102266
3388.1384,-0.60839035,-0.010399487,-1.6206261
3448.6409,-0.58803283,-0.010053689,-1.6306797
3509.1434,-0.56809824,-0.0097151094,-1.6403949
3569.6458,-0.54859086,-0.0093836738,-1.6497785
3630.1483,-0.52951152,-0.0090594249,-1.658838
3690.6508,-0.51086504,-0.0087424102,-1.6675804
3751.1533,-0.49265626,-0.008432711,-1.6760131
3811.6557,-0.47488666,-0.0081303804,-1.6841435
3872.1582,-0.45754593,-0.007835344,-1.6919788
3932.6607,-0.44062468,-0.0075474363,-1.6995262
3993.1631,-0.42412277,-0.0072665775,-1.7067928
4053.6656,-0.40803494,-0.006992722,-1.7137855
4114.1681,-0.39235018,-0.006725733,-1.7205113
4174.6706,-0.37705421,-0.0064653982,-1.7269767
4235.173,-0.36211852,-0.006211358,-1.733188
4295.6755,-0.34751571,-0.0059631424,-1.7391512
4356.178,-0.33321693,-0.0057202789,-1.7448714
4416.6805,-0.3191979,-0.0054823209,-1.7503538
4477.1829,-0.30543153,-0.0052488368,-1.7556026
4537.6854,-0.2918969,-0.0050194232,-1.760622
4598.1879,-0.2785808,-0.0047937932,-1.7654158
4658.6903,-0.26547852,-0.0045717963,-1.7699876
4719.1928,-0.25258686,-0.0043533661,-1.774341
4779.6953,-0.23990287,-0.0041384508,-1.7784794
4840.1978,-0.22742332,-0.0039269985,-1.7824064
4900.7002,-0.21514539,-0.0037189584,-1.7861254
4961.2027,-0.20306972,-0.0035143122,-1.7896397
5021.7052,9.7974552,0.080622783,-1.7090169
5082.2076,8.4622363,0.1534384,-1.5555785
5142.7101,7.5477648,0.13453398,-1.4210445
5203.2126,6.7223714,0.11991368,-1.3011309
5263.7151,5.9709151,0.10666322,-1.1944676
5324.2175,5.3378759,0.095029141,-1.0994385
5384.72,4.8157912,0.085322495,-1.014116
5445.2225,4.3413053,0.076948191,-0.93716781
5505.7249,3.9097088,0.069334271,-0.86783354
5566.2274,3.517389,0.062410802,-0.80542273
5626.7299,3.16085,0.056118051,-0.74930468
5687.2324,2.8501042,0.050510776,-0.69879391
5747.7348,2.6077831,0.045863288,-0.65293062
5808.2373,-7.8796023,-0.044299736,-0.69723035
5868.7398,-6.8017175,-0.12336891,-0.82059926
5929.2422,-6.1689327,-0.10899394,-0.92959321
5989.7447,-5.5891627,-0.098804699,-1.0283979
6050.2471,-5.0673475,-0.089547765,-1.1179457
