,OBC_BOX-BODY,OBC_BOX-RADIATOR,OBC_BOX-BODY_PLATE_MED,OBC_BOX-BODY_PANEL,OBC_BOX-BODY_PLATE_SUP,OBC_BOX-Space,OBC_BOX-BODY_PLATE_INF
ΔT [°C],8.398441217107049,24.668482715349995,2.644581923945317,8.398441217107049,3.3303783832416087,300.4348854697452,6.735507963918824
time [s],4961.202697753906,5747.734832763672,5747.734832763672,4961.202697753906,5021.705169677734,5445.222473144531,5384.720001220703
T_hot [°C],29.428645709143314,30.224974948986286,30.470545777210244,29.428645709143314,30.40822519186818,30.434885469745193,35.30029059547109
T_cold [°C],21.030204492036265,5.556492233636293,27.825963853264927,21.030204492036265,27.07784680862657,-270.0,28.564782631552266
Hot node,31014.0,31023.0,12602.0,31014.0,31022.0,31022.0,12000.0
Cold node,11102.0,35506.0,31011.0,11102.0,13603.0,99999.0,31008.0
Hot label,STR_AV_OBC_EXT,STR_AV_OBC_EXT,STR_BOD_PLM,STR_AV_OBC_EXT,STR_AV_OBC_EXT,STR_AV_OBC_EXT,STR_BOD_PLI
Cold label,STR_BOD_P_INT,STR_AV_RAD_INT,STR_AV_OBC_EXT,STR_BOD_P_INT,STR_BOD_PLS,ENVIRONMENT,STR_AV_OBC_EXT
Node pair,31014 - 11102,31023 - 35506,31011 - 12602,31014 - 11102,31022 - 13603,31022 - 99999,31008 - 12000
Coupling,"GL, GR","GL, GR","GL, GR",GR,GR,GR,GR
