,OBC_BOX-BODY,OBC_BOX-RADIATOR,OBC_BOX-BODY_PLATE_MED,OBC_BOX-BODY_PANEL,OBC_BOX-BODY_PLATE_SUP,OBC_BOX-Space,OBC_BOX-BODY_PLATE_INF
ΔT [°C],6.001766133013118,17.775734721621355,2.111647789323955,6.001766133013118,1.939373592482844,270.85292905941776,4.62726837053287
time [s],2783.1137084960938,4598.1878662109375,4598.1878662109375,2783.1137084960938,2662.1087646484375,3388.138427734375,2964.621124267578
T_hot [°C],5.4590908514843655,0.5240824565090219,0.8280943114869806,5.4590908514843655,0.7920555446844074,0.8529290594177891,4.124064911120719
T_cold [°C],-0.5426752815287526,-17.251652265112334,-1.2835534778369746,-0.5426752815287526,-1.1473180477984364,-270.0,-0.5032034594121512
Hot node,10702.0,31017.0,12602.0,10702.0,31022.0,31022.0,12000.0
Cold node,31011.0,35502.0,31011.0,31011.0,13603.0,99999.0,31008.0
Hot label,STR_BOD_P_INT,STR_AV_OBC_EXT,STR_BOD_PLM,STR_BOD_P_INT,STR_AV_OBC_EXT,STR_AV_OBC_EXT,STR_BOD_PLI
Cold label,STR_AV_OBC_EXT,STR_AV_RAD_INT,STR_AV_OBC_EXT,STR_AV_OBC_EXT,STR_BOD_PLS,ENVIRONMENT,STR_AV_OBC_EXT
Node pair,31011 - 10702,31017 - 35502,31011 - 12602,31011 - 10702,31022 - 13603,31022 - 99999,31008 - 12000
Coupling,"GL, GR","GL, GR","GL, GR",GR,GR,GR,GR
