Group,Δ(Tmean),Δ(QS),Δ(QI)
SOLAR_PANEL_1,25.566145,15.071328,0
OBC_BOX,12.888938,0.18287551,1.9999997
RADIATOR,9.535398,0.51134995,0
BATTERY,14.788106,6.5174633e-05,1.125
