elapsedTime,QS [W],E_QS [Wh]
0,745.68985,0
60.502472,745.68715,12.532222
121.00494,745.68444,25.064398
181.50742,745.68174,37.596528
242.00989,745.67903,50.128613
302.51236,745.67584,62.660649
363.01483,745.67254,75.19263
423.5173,745.66924,87.724556
484.01978,745.66595,100.25643
544.52225,745.66237,112.78824
605.02472,745.65864,125.31999
665.52719,745.65492,137.85168
726.02966,745.6512,150.3833
786.53214,745.64739,162.91487
847.03461,745.6435,175.44636
907.53708,745.63961,187.9778
968.03955,745.63571,200.50916
1028.542,745.63185,213.04047
1089.0445,745.62805,225.5717
1149.547,745.62425,238.10288
1210.0494,745.62045,250.63399
1270.5519,745.6167,263.16503
1331.0544,745.6132,275.69602
1391.5569,745.60969,288.22695
1452.0593,745.60619,300.75781
1512.5618,0,307.02323
1573.0643,0,307.02323
1633.5667,0,307.02323
1694.0692,0,307.02323
1754.5717,0,307.02323
1815.0742,0,307.02323
1875.5766,0,307.02323
1936.0791,0,307.02323
1996.5816,0,307.02323
2057.084,0,307.02323
2117.5865,0,307.02323
2178.089,0,307.02323
2238.5915,0,307.02323
2299.0939,0,307.02323
2359.5964,0,307.02323
2420.0989,0,307.02323
2480.6013,0,307.02323
2541.1038,0,307.02323
2601.6063,0,307.02323
2662.1088,0,307.02323
2722.6112,0,307.02323
2783.1137,0,307.02323
2843.6162,0,307.02323
2904.1187,0,307.02323
2964.6211,0,307.02323
3025.1236,0,307.02323
3085.6261,0,307.02323
3146.1285,0,307.02323
3206.631,0,307.02323
3267.1335,0,307.02323
3327.636,0,307.02323
3388.1384,0,307.02323
3448.6409,745.60828,313.28867
3509.1434,745.61172,325.81957
3569.6458,745.61535,338.35053
3630.1483,745.61907,350.88156
3690.6508,745.62279,363.41264
3751.1533,745.62651,375.94379
3811.6557,745.63032,388.475
3872.1582,745.63421,401.00628
3932.6607,745.6381,413.53762
3993.1631,745.642,426.06903
4053.6656,745.64586,438.6005
4114.1681,745.64966,451.13204
4174.6706,745.65346,463.66364
4235.173,745.65726,476.1953
4295.6755,745.661,488.72703
4356.178,745.66444,501.25882
4416.6805,745.66789,513.79066
4477.1829,745.67134,526.32257
4537.6854,745.67479,538.85453
4598.1879,745.67764,551.38655
4658.6903,745.6805,563.91861
4719.1928,745.68336,576.45072
4779.6953,745.68622,588.98288
4840.1978,745.68843,601.51508
4900.7002,745.69051,614.04732
4961.2027,745.69258,626.57959
5021.7052,745.69466,639.1119
5082.2076,745.69612,651.64424
5142.7101,745.69727,664.1766
5203.2126,745.69843,676.70897
5263.7151,745.69958,689.24137
5324.2175,745.70023,701.77379
5384.72,745.70038,714.30621
5445.2225,745.70053,726.83863
5505.7249,745.70068,739.37105
5566.2274,745.70049,751.90348
5626.7299,745.69963,764.43589
5687.2324,745.69877,776.96829
5747.7348,745.6979,789.50068
5808.2373,745.69689,802.03305
5868.7398,745.69513,814.5654
5929.2422,745.69337,827.09772
5989.7447,745.69161,839.63001
6050.2471,745.68985,852.16224
