time_s,adcs_unit,battery_pack,body_plate_inf,body_plate_med,body_plate_sup,camera_base,camera_cyl,camera_electronics,camera_lens,comms_box,obc_box
0.0,-12.60899491019029,-19.7195805924917,-15.331404206034625,-18.20795249767893,-18.07527604884146,-22.098026261918868,2.244931302836437,-7.258451850556415,-14.711465654732276,1.356517641728181,-16.186797134669074
605.0247192382812,-12.606072969517172,-19.622938249198857,-15.326170153559135,-18.163553694846208,-18.03012681306857,-21.399485632843465,10.028976854278742,-7.257610449340203,-12.737103796718257,1.35972031270291,-16.183416155199925
1210.0494384765625,-12.60394515007633,-19.561427896652912,-15.319881369265966,-18.129278352727063,-17.999174153331417,-21.050798365022768,13.065102697331342,-7.252869562866759,-11.338168036949831,1.362719402917252,-16.18021203994628
1815.0741577148438,-12.600344403002913,-19.518714620085934,-15.310877200718647,-18.10489160852292,-17.977980296998336,-20.687523014399627,15.378848372513627,-7.241979567338709,-10.934672959477577,1.3676780725502609,-16.173841992898883
2420.098876953125,-12.596390972133094,-19.51089759895546,-15.30292147082215,-18.09779852353398,-17.975232393003324,-20.49834018301436,15.502235653991468,-7.2283306457518925,-11.400543694799723,1.372953014267271,-16.16857215617816
3025.1235961914062,-12.591034443757422,-19.545546218436286,-15.29679939648329,-18.10733627828646,-17.990762814477236,-21.529177011281725,1.7047037262070361,-7.2118933203508,-12.423529209997422,1.3791861912321288,-16.16322831095562
3630.1483154296875,-12.587897394210358,-19.59146480457356,-15.29567059828566,-18.12701512759066,-18.011830535529064,-22.271014437953333,-6.398134422092848,-7.205952481942468,-13.620605462431165,1.3821022262872342,-16.160763790050176
4235.173034667969,-12.586539752305347,-19.62346346139741,-15.296557115416263,-18.143873692809805,-18.028817964828768,-22.70705055410044,-10.48265548431741,-7.205809992245435,-14.641765313316967,1.383039366738689,-16.159975254808746
4840.19775390625,-12.585461235664745,-19.6615991512244,-15.298631520143946,-18.16357234318644,-18.04548214113389,-22.70749354163934,-9.163225559300637,-7.207604397917213,-15.617063297781884,1.3834232712292813,-16.15960971286906
5445.222473144531,-12.584791774023222,-19.686044286351855,-15.300558971980761,-18.17466792334385,-18.050866176556873,-22.565473863577246,-6.07170821644033,-7.210208571074751,-15.837714122065782,1.3833952378368668,-16.159365260598097
6050.2470703125,-12.582657059754283,-19.67796148930766,-15.30152814821291,-18.16839134917792,-18.03319863757912,-22.052336675089236,2.232905751264263,-7.216771892337003,-14.767013309918934,1.3840598330878375,-16.158065339955815
