node,internal_node,type,label
50103,217,D,MLI_INT
50200,218,D,MLI_EXT
50201,219,D,MLI_EXT
50202,220,D,MLI_EXT
50203,221,D,MLI_EXT
50300,222,D,MLI_INT
50301,223,D,MLI_INT
50302,224,D,MLI_INT
50303,225,D,MLI_INT
50400,226,D,MLI_EXT
50401,227,D,MLI_EXT
50402,228,D,MLI_EXT
50403,229,D,MLI_EXT
50500,230,D,MLI_INT
50501,231,D,MLI_INT
50502,232,D,MLI_INT
50503,233,D,MLI_INT
50600,234,D,MLI_EXT
50601,235,D,MLI_EXT
50602,236,D,MLI_EXT
50603,237,D,MLI_EXT
50700,238,D,MLI_INT
50701,239,D,MLI_INT
50702,240,D,MLI_INT
50703,241,D,MLI_INT
50800,242,D,MLI_EXT
50801,243,D,MLI_EXT
50802,244,D,MLI_EXT
50803,245,D,MLI_EXT
50900,246,D,MLI_INT
50901,247,D,MLI_INT
50902,248,D,MLI_INT
50903,249,D,MLI_INT
51000,250,D,MLI_EXT
51001,251,D,MLI_EXT
51002,252,D,MLI_EXT
51003,253,D,MLI_EXT
51100,254,D,MLI_INT
51101,255,D,MLI_INT
51102,256,D,MLI_INT
51103,257,D,MLI_INT
70000,258,D,solar_panel_1
70001,259,D,solar_panel_1
70002,260,D,solar_panel_1
70003,261,D,solar_panel_1
70004,262,D,solar_panel_1
70005,263,D,solar_panel_1
70100,264,D,solar_panel_1
70101,265,D,solar_panel_1
70102,266,D,solar_panel_1
70103,267,D,solar_panel_1
70104,268,D,solar_panel_1
70105,269,D,solar_panel_1
72000,270,D,solar_panel_2
72001,271,D,solar_panel_2
72002,272,D,solar_panel_2
72003,273,D,solar_panel_2
72004,274,D,solar_panel_2
72005,275,D,solar_panel_2
72100,276,D,solar_panel_2
72101,277,D,solar_panel_2
72102,278,D,solar_panel_2
72103,279,D,solar_panel_2
72104,280,D,solar_panel_2
72105,281,D,solar_panel_2
99998,282,X,INACTIVE_NODE
99999,283,B,ENVIRONMENT
