,Time [s],QS_elec [W],Q_load [W],solar_to_load [W],solar_surplus [W],load_deficit [W],P_charge [W],P_discharge [W],P_batt [W],I_charge [A],I_discharge [A],I_batt [A],V_batt [V],V_internal [V],SOC [%],phi [Wh],E_stored [Wh],eta_charge [-],eta_discharge [-],curtailed_solar [W],unserved_load [W],internal_loss [W],conversion_loss [W],battery_heat_generation [W],battery_resistance_factor [-],R_dis_effective [ohm],R_chg_effective [ohm],battery_capacity_factor [-],capacity_effective [Wh],SOC_effective [%],T_batt [degC],charge_derating [-],mode,charge_phase,operating_phase
0,0,277.86416,11,11,266.86416,0,0,0,0,0,0,0,22.648,22.648,60,26.64,39.96,0.98,0.98,0,0,0,0,0,1,0.1,0.1,1,66.6,60,18.426181,1,initial,none,initial
1,60.502472,277.67288,11,11,266.67288,0,34.203301,0,-34.203301,1.5,0,-1.5,22.802201,22.652201,60.857429,26.068952,40.531048,0.98,0.98,231.86719,0,0.225,0.69802655,0.225,1,0.1,0.1,1,66.6,60.857429,18.423495,1,charge,CC,charge - CC
2,121.00494,277.50035,11,11,266.50035,0,34.228514,0,-34.228514,1.5,0,-1.5,22.819009,22.669009,61.715494,25.497481,41.102519,0.98,0.98,231.65956,0,0.225,0.6985411,0.225,1,0.1,0.1,1,66.6,61.715494,18.42097,1,charge,CC,charge - CC
3,181.50742,277.34602,11,11,266.34602,0,34.253746,0,-34.253746,1.5,0,-1.5,22.835831,22.685831,62.574195,24.925586,41.674414,0.98,0.98,231.47038,0,0.225,0.69905604,0.225,1,0.1,0.1,1,66.6,62.574195,18.418603,1,charge,CC,charge - CC
4,242.00989,277.20935,11,11,266.20935,0,34.278996,0,-34.278996,1.5,0,-1.5,22.852664,22.702664,63.433534,24.353266,42.246734,0.98,0.98,231.29912,0,0.225,0.69957135,0.225,1,0.1,0.1,1,66.6,63.433534,18.416392,1,charge,CC,charge - CC
5,302.51236,277.08909,11,11,266.08909,0,34.304266,0,-34.304266,1.5,0,-1.5,22.86951,22.71951,64.293511,23.780522,42.819478,0.98,0.98,231.14487,0,0.225,0.70008705,0.225,1,0.1,0.1,1,66.6,64.293511,18.414333,1,charge,CC,charge - CC
6,363.01483,276.98398,11,11,265.98398,0,34.329554,0,-34.329554,1.5,0,-1.5,22.886369,22.736369,65.154126,23.207352,43.392648,0.98,0.98,231.00638,0,0.225,0.70060313,0.225,1,0.1,0.1,1,66.6,65.154126,18.412426,1,charge,CC,charge - CC
7,423.5173,276.89357,11,11,265.89357,0,34.35486,0,-34.35486,1.5,0,-1.5,22.90324,22.75324,66.015379,22.633758,43.966242,0.98,0.98,230.88279,0,0.225,0.7011196,0.225,1,0.1,0.1,1,66.6,66.015379,18.410667,1,charge,CC,charge - CC
8,484.01978,276.81741,11,11,265.81741,0,34.380186,0,-34.380186,1.5,0,-1.5,22.920124,22.770124,66.877271,22.059737,44.540263,0.98,0.98,230.77366,0,0.225,0.70163645,0.225,1,0.1,0.1,1,66.6,66.877271,18.409054,1,charge,CC,charge - CC
9,544.52225,276.75442,11,11,265.75442,0,34.40553,0,-34.40553,1.5,0,-1.5,22.93702,22.78702,67.739803,21.485291,45.114709,0.98,0.98,230.67823,0,0.225,0.70215368,0.225,1,0.1,0.1,1,66.6,67.739803,18.407586,1,charge,CC,charge - CC
10,605.02472,276.70246,11,11,265.70246,0,34.430893,0,-34.430893,1.5,0,-1.5,22.953929,22.803929,68.602975,20.910418,45.689582,0.98,0.98,230.59487,0,0.225,0.70267129,0.225,1,0.1,0.1,1,66.6,68.602975,18.40626,1,charge,CC,charge - CC
11,665.52719,276.66109,11,11,265.66109,0,34.456275,0,-34.456275,1.5,0,-1.5,22.97085,22.82085,69.466788,20.335119,46.264881,0.98,0.98,230.52231,0,0.225,0.70318929,0.225,1,0.1,0.1,1,66.6,69.466788,18.405074,1,charge,CC,charge - CC
12,726.02966,276.62999,11,11,265.62999,0,34.481676,0,-34.481676,1.5,0,-1.5,22.987784,22.837784,70.331241,19.759393,46.840607,0.98,0.98,230.46016,0,0.225,0.70370768,0.225,1,0.1,0.1,1,66.6,70.331241,18.404026,1,charge,CC,charge - CC
13,786.53214,276.60837,11,11,265.60837,0,34.507096,0,-34.507096,1.5,0,-1.5,23.004731,22.854731,71.196336,19.18324,47.41676,0.98,0.98,230.40786,0,0.225,0.70422644,0.225,1,0.1,0.1,1,66.6,71.196336,18.403115,1,charge,CC,charge - CC
14,847.03461,276.59319,11,11,265.59319,0,34.532534,0,-34.532534,1.5,0,-1.5,23.02169,22.87169,72.062073,18.606659,47.993341,0.98,0.98,230.3635,0,0.225,0.7047456,0.225,1,0.1,0.1,1,66.6,72.062073,18.402337,1,charge,CC,charge - CC
15,907.53708,276.58379,11,11,265.58379,0,34.557992,0,-34.557992,1.5,0,-1.5,23.038661,22.888661,72.928452,18.029651,48.570349,0.98,0.98,230.32524,0,0.225,0.70526514,0.225,1,0.1,0.1,1,66.6,72.928452,18.401691,1,charge,CC,charge - CC
16,968.03955,276.57999,11,11,265.57999,0,34.583468,0,-34.583468,1.5,0,-1.5,23.055645,22.905645,73.795474,17.452214,49.147786,0.98,0.98,230.29264,0,0.225,0.70578506,0.225,1,0.1,0.1,1,66.6,73.795474,18.401174,1,charge,CC,charge - CC
17,1028.542,276.58134,11,11,265.58134,0,34.608963,0,-34.608963,1.5,0,-1.5,23.072642,22.922642,74.66314,16.874349,49.725651,0.98,0.98,230.2654,0,0.225,0.70630537,0.225,1,0.1,0.1,1,66.6,74.66314,18.400784,1,charge,CC,charge - CC
18,1089.0445,276.58411,11,11,265.5841,0,34.634477,0,-34.634477,1.5,0,-1.5,23.089651,22.939651,75.531449,16.296055,50.303945,0.98,0.98,230.24142,0,0.225,0.70682607,0.225,1,0.1,0.1,1,66.6,75.531449,18.400517,1,charge,CC,charge - CC
19,1149.547,276.58712,11,11,265.58712,0,34.66001,0,-34.66001,1.5,0,-1.5,23.106673,22.956673,76.400403,15.717332,50.882668,0.98,0.98,230.21825,0,0.225,0.70734715,0.225,1,0.1,0.1,1,66.6,76.400403,18.400372,1,charge,CC,charge - CC
20,1210.0494,276.59035,11,11,265.59035,0,34.685562,0,-34.685562,1.5,0,-1.5,23.123708,22.973708,77.270001,15.138179,51.461821,0.98,0.98,230.1953,0,0.225,0.70786862,0.225,1,0.1,0.1,1,66.6,77.270001,18.400345,1,charge,CC,charge - CC
21,1270.5519,276.59375,11,11,265.59375,0,34.711133,0,-34.711133,1.5,0,-1.5,23.140755,22.990755,78.140245,14.558597,52.041403,0.98,0.98,230.17253,0,0.225,0.70839047,0.225,1,0.1,0.1,1,66.6,78.140245,18.400436,1,charge,CC,charge - CC
22,1331.0544,276.5956,11,11,265.5956,0,34.736723,0,-34.736723,1.5,0,-1.5,23.157815,23.007815,79.011134,13.978585,52.621415,0.98,0.98,230.14904,0,0.225,0.70891272,0.225,1,0.1,0.1,1,66.6,79.011134,18.400641,1,charge,CC,charge - CC
23,1391.5569,276.59487,11,11,265.59487,0,34.762332,0,-34.762332,1.5,0,-1.5,23.174888,23.024888,79.88267,13.398142,53.201858,0.98,0.98,230.12347,0,0.225,0.70943535,0.225,1,0.1,0.1,1,66.6,79.88267,18.400959,1,charge,CC,charge - CC
24,1452.0593,276.59165,11,11,265.59165,0,34.805073,0,-34.805073,1.5,0,-1.5,23.203382,23.053382,80.755284,12.816981,53.783019,0.98,0.98,230.07788,0,0.225,0.71030761,0.225,1,0.1,0.1,1,66.6,80.755284,18.401389,1,charge,CC,charge - CC
25,1512.5618,0,11,0,0,11,34.918238,0,-34.918238,1.5,0,-1.5,23.278825,23.128825,81.630754,12.233918,54.366082,0.98,0.98,91.664968,0,0.225,0.7126171,0.225,1,0.1,0.1,1,66.6,81.630754,18.709988,1,charge,CC,charge - CC
