Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
0,30.118647,40.158196,-2.392494,8,20.682045,0,0.014270611,-0.014270611
60.502472,30.114126,40.152168,-1.8039977,8,19.773833,0,0.013643945,-0.013643945
121.00494,30.109606,40.146141,-1.2108538,8,18.859721,0,0.013013207,-0.013013207
181.50742,30.105085,40.140114,-0.61333793,8,17.940091,0,0.012378663,-0.012378663
242.00989,30.100565,40.134087,-0.011710367,8,17.015305,0,0.011740561,-0.011740561
302.51236,30.078438,40.104584,0.57441337,8,16.104773,0,0.011112293,-0.011112293
363.01483,30.05279,40.070386,1.1515385,8,15.206837,0,0.010492718,-0.010492718
423.5173,30.027141,40.036188,1.7211028,8,14.321351,0,0.0098817323,-0.0098817323
484.01978,30.001493,40.001991,2.2213565,8,13.54207,0,0.0093440286,-0.0093440286
544.52225,29.99067,39.987559,2.5286027,8,13.065421,0,0.0090151407,-0.0090151407
605.02472,29.987259,39.983011,2.8379063,8,12.590647,0,0.0086875462,-0.0086875462
665.52719,29.983848,39.978463,3.1457747,8,12.118699,0,0.0083619023,-0.0083619023
726.02966,29.980437,39.973915,3.4521672,8,11.64962,0,0.008038238,-0.008038238
786.53214,29.98826,39.984347,3.7599772,8,11.185476,0,0.0077179787,-0.0077179787
847.03461,30.007319,40.009759,4.0609555,8,10.738588,0,0.0074096255,-0.0074096255
907.53708,30.026378,40.03517,4.3496463,8,10.310687,0,0.0071143739,-0.0071143739
968.03955,30.045437,40.060582,4.6263392,8,9.9013249,0,0.0068319142,-0.0068319142
1028.542,30.057668,40.076891,4.8882526,8,9.5107634,0,0.0065624268,-0.0065624268
1089.0445,30.056247,40.074996,5.1268591,8,9.1478056,0,0.0063119859,-0.0063119859
1149.547,30.054825,40.0731,5.3458814,8,8.8146088,0,0.0060820801,-0.0060820801
1210.0494,30.053404,40.071205,5.5458441,8,8.5103749,0,0.0058721587,-0.0058721587
1270.5519,30.052168,40.069558,5.7273239,8,8.2343312,0,0.0056816886,-0.0056816886
1331.0544,30.051865,40.069153,5.890389,8,7.9866893,0,0.0055108156,-0.0055108156
1391.5569,30.051561,40.068748,6.0348128,8,7.7672045,0,0.0053593711,-0.0053593711
1452.0593,30.051257,40.068343,6.1611265,8,7.5750745,0,0.0052268014,-0.0052268014
1512.5618,-715.55173,-954.06897,-270.31614,8,1.4565167,0,0.0010049965,-0.0010049965
1573.0643,-715.54792,-954.0639,-270.21494,8,-4.5012251,0,-0.0031058454,0.0031058454
1633.5667,-715.54411,-954.05882,-270.12542,8,-9.9659262,0,-0.0068764891,0.0068764891
1694.0692,-715.54031,-954.05374,-270.04727,8,-14.994253,0,-0.010346035,0.010346035
1754.5717,-715.5365,-954.04867,-269.98014,8,-19.59419,0,-0.013519991,0.013519991
1815.0742,-715.53241,-954.04321,-269.92258,8,-23.526447,0,-0.016233249,0.016233249
1875.5766,-715.52825,-954.03767,-269.87245,8,-27.184201,0,-0.018757098,0.018757098
1936.0791,-715.5241,-954.03213,-269.82953,8,-30.603089,0,-0.021116131,0.021116131
1996.5816,-715.51995,-954.0266,-269.79359,8,-33.803038,0,-0.023324096,0.023324096
2057.084,-715.51575,-954.021,-269.76364,8,-36.803723,0,-0.025394569,0.025394569
2117.5865,-715.51154,-954.01538,-269.73693,8,-39.48821,0,-0.027246865,0.027246865
2178.089,-715.50732,-954.00976,-269.71316,8,-41.802092,0,-0.028843443,0.028843443
2238.5915,-715.5031,-954.00414,-269.69223,8,-43.999888,0,-0.030359923,0.030359923
2299.0939,-715.499,-953.99867,-269.67359,8,-46.090597,0,-0.031802512,0.031802512
2359.5964,-715.49501,-953.99334,-269.65421,8,-48.079756,0,-0.033175032,0.033175032
2420.0989,-715.49102,-953.98802,-269.63357,8,-49.986882,0,-0.034490949,0.034490949
2480.6013,-715.48703,-953.9827,-269.6117,8,-51.816934,0,-0.035753684,0.035753684
2541.1038,0,0,0,8,-52.582183,0,-0.036281706,0.036281706
2601.6063,0,0,0,8,-48.333976,0,-0.033350444,0.033350444
2662.1088,0,0,0,8,-44.217513,0,-0.030510084,0.030510084
2722.6112,0,0,0,8,-40.422786,0,-0.027891722,0.027891722
2783.1137,0,0,0,8,-36.972234,0,-0.025510842,0.025510842
2843.6162,0,0,0,8,-34.177565,0,-0.02358252,0.02358252
2904.1187,0,0,0,8,-31.653126,0,-0.021840657,0.021840657
2964.6211,0,0,0,8,-29.337461,0,-0.020242848,0.020242848
3025.1236,0,0,0,8,-27.199331,0,-0.018767538,0.018767538
3085.6261,0,0,0,8,-25.234997,0,-0.017412148,0.017412148
3146.1285,0,0,0,8,-23.480992,0,-0.016201885,0.016201885
3206.631,0,0,0,8,-22.178886,0,-0.015303432,0.015303432
3267.1335,0,0,0,8,-20.975481,0,-0.014473082,0.014473082
3327.636,0,0,0,8,-19.861223,0,-0.013704244,0.013704244
3388.1384,0,0,0,8,-18.836085,0,-0.012996898,0.012996898
3448.6409,745.60828,994.14437,326.25419,8,-13.528313,0,-0.009334536,0.009334536
3509.1434,745.61172,994.14896,322.77368,8,-6.6359123,0,-0.0045787795,0.0045787795
3569.6458,745.61535,994.15379,319.66337,8,-0.3597459,0,-0.00024822467,0.00024822467
