Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
3146.1285,-764.87012,-1019.8268,-282.50706,-5.4999986,-73.597552,0,-0.050782311,0.050782311
3206.631,-764.86841,-1019.8245,-282.37528,-5.4999986,-74.799695,0,-0.05161179,0.05161179
3267.1335,-764.8667,-1019.8223,-282.25342,-5.4999986,-75.969943,0,-0.052419261,0.052419261
3327.636,-764.8647,-1019.8196,-282.14102,-5.4999986,-77.10911,0,-0.053205286,0.053205286
3388.1384,-764.86263,-1019.8168,-282.03783,-5.4999986,-78.217606,0,-0.053970148,0.053970148
3448.6409,-19.252294,-25.669725,44.310598,-5.4999986,-74.942307,0,-0.051710192,0.051710192
3509.1434,-19.24679,-25.662387,40.915664,-5.4999986,-69.98674,0,-0.048290851,0.048290851
3569.6458,-19.240957,-25.65461,37.882873,-5.4999986,-65.559257,0,-0.045235887,0.045235887
3630.1483,-19.23496,-25.646613,35.323852,-5.4999986,-61.822633,0,-0.042657616,0.042657616
3690.6508,-19.228962,-25.638616,32.888074,-5.4999986,-58.265949,0,-0.040203505,0.040203505
3751.1533,-19.222964,-25.630619,30.573071,-5.4999986,-54.885602,0,-0.037871065,0.037871065
3811.6557,-19.216851,-25.622468,28.37454,-5.4999986,-51.675231,0,-0.035655909,0.035655909
3872.1582,-19.210624,-25.614165,26.280529,-5.4999986,-48.617379,0,-0.033545992,0.033545992
3932.6607,-19.204396,-25.605862,24.286731,-5.4999986,-45.70582,0,-0.031537016,0.031537016
3993.1631,-19.198169,-25.597559,22.451825,-5.4999986,-43.026085,0,-0.029687999,0.029687999
4053.6656,-19.192006,-25.589342,20.892365,-5.4999986,-40.7481,0,-0.028116189,0.028116189
4114.1681,-19.185974,-25.581298,19.394061,-5.4999986,-38.559452,0,-0.026606022,0.026606022
4174.6706,-19.179941,-25.573255,17.953915,-5.4999986,-36.455673,0,-0.025154414,0.025154414
4235.173,-19.173909,-25.565211,16.570184,-5.4999986,-34.434218,0,-0.023759611,0.023759611
4295.6755,-19.167977,-25.557303,15.248703,-5.4999986,-32.503645,0,-0.022427515,0.022427515
4356.178,-19.16255,-25.550067,13.976096,-5.4999986,-30.644638,0,-0.0211448,0.0211448
4416.6805,-19.157124,-25.542831,12.749413,-5.4999986,-28.852586,0,-0.019908284,0.019908284
4477.1829,-19.151697,-25.535596,11.567163,-5.4999986,-27.125318,0,-0.018716469,0.018716469
4537.6854,-19.14627,-25.52836,10.427851,-5.4999986,-25.460651,0,-0.01756785,0.01756785
4598.1879,-19.141819,-25.522426,9.3741803,-5.4999986,-23.921367,0,-0.016505744,0.016505744
4658.6903,-19.137368,-25.516491,8.5478657,-5.4999986,-22.713487,0,-0.015672306,0.015672306
4719.1928,-19.132917,-25.510557,7.7382912,-5.4999986,-21.529999,0,-0.014855699,0.014855699
4779.6953,-19.128467,-25.504622,6.9450833,-5.4999986,-20.370359,0,-0.014055547,0.014055547
4840.1978,-19.125034,-25.500045,6.1673688,-5.4999986,-19.233857,0,-0.013271361,0.013271361
4900.7002,-19.121804,-25.495739,5.4049257,-5.4999986,-18.119718,0,-0.012502606,0.012502606
4961.2027,-19.118575,-25.491433,4.6574995,-5.4999986,-17.02746,0,-0.011748948,0.011748948
